district,NAME_2,year,mean
Ahmadabad,Ahmadabad,2015.0,0.3202889562754944
Amreli,Amreli,2015.0,0.4118940921377047
Anand,Anand,2015.0,0.3849253937151558
Aravalli,Aravalli,2015.0,0.4235861456485219
BanasKantha,BanasKantha,2015.0,0.38922666600823724
Bharuch,Bharuch,2015.0,0.4330731631897205
Bhavnagar,Bhavnagar,2015.0,0.35032265994284695
Botad,Botad,2015.0,0.42996872340771086
ChhotaUdaipur,ChhotaUdaipur,2015.0,0.4930542743693842
Dahod,Dahod,2015.0,0.36500032743808697
DevbhumiDwarka,DevbhumiDwarka,2015.0,0.216999883791458
Gandhinagar,Gandhinagar,2015.0,0.41893325508431867
GirSomnath,GirSomnath,2015.0,0.48271795780700205
Jamnagar,Jamnagar,2015.0,0.3067441256329022
Junagadh,Junagadh,2015.0,0.429583777101231
Kachchh,Kachchh,2015.0,0.17664917052296356
Kheda,Kheda,2015.0,0.42617195784590345
Mahesana,Mahesana,2015.0,0.41791224943886823
Mahisagar,Mahisagar,2015.0,0.3800773483404019
Morbi,Morbi,2015.0,0.325805380384716
Narmada,Narmada,2015.0,0.4545387154913067
Navsari,Navsari,2015.0,0.5533150667891517
PanchMahals,PanchMahals,2015.0,0.4147377378509536
Patan,Patan,2015.0,0.3543667411971778
Porbandar,Porbandar,2015.0,0.3132640087128931
Rajkot,Rajkot,2015.0,0.37241854890181364
SabarKantha,SabarKantha,2015.0,0.4302642720955835
Surat,Surat,2015.0,0.4600267365822038
Surendranagar,Surendranagar,2015.0,0.3145794274865719
Tapi,Tapi,2015.0,0.41617405688174497
TheDangs,TheDangs,2015.0,0.5846108418258699
Vadodara,Vadodara,2015.0,0.5224304371955241
Valsad,Valsad,2015.0,0.5294528280117757
Ahmadabad,Ahmadabad,2016.0,0.3357459040902166
Amreli,Amreli,2016.0,0.47291854792917065
Anand,Anand,2016.0,0.4526188839151638
Aravalli,Aravalli,2016.0,0.47175194603455445
BanasKantha,BanasKantha,2016.0,0.3994281374657016
Bharuch,Bharuch,2016.0,0.4480287109982162
Bhavnagar,Bhavnagar,2016.0,0.39393013546694017
Botad,Botad,2016.0,0.41548043314536776
ChhotaUdaipur,ChhotaUdaipur,2016.0,0.5517097327740821
Dahod,Dahod,2016.0,0.46037148437674635
DevbhumiDwarka,DevbhumiDwarka,2016.0,0.24829335096713548
Gandhinagar,Gandhinagar,2016.0,0.4541561969051424
GirSomnath,GirSomnath,2016.0,0.45018755595003296
Jamnagar,Jamnagar,2016.0,0.36821147636930146
Junagadh,Junagadh,2016.0,0.48047979872109503
Kachchh,Kachchh,2016.0,0.17068140963811143
Kheda,Kheda,2016.0,0.47382200785077727
Mahesana,Mahesana,2016.0,0.44591948810165677
Mahisagar,Mahisagar,2016.0,0.45996074589401287
Morbi,Morbi,2016.0,0.3458111711322422
Narmada,Narmada,2016.0,0.5094477290494887
Navsari,Navsari,2016.0,0.5323370707733757
PanchMahals,PanchMahals,2016.0,0.5062569019072833
Patan,Patan,2016.0,0.35243551611348667
