-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: latitude  21.6   longitude 71.22 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 125.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.05,27.81,12.52,46.09,3.07
2015,1,2,0.0,27.36,12.75,62.01,2.46
2015,1,3,0.0,29.13,13.73,53.52,1.45
2015,1,4,0.0,29.69,13.65,43.45,2.5
2015,1,5,0.0,30.35,13.89,36.74,2.82
2015,1,6,0.0,31.63,12.2,25.49,1.82
2015,1,7,0.0,30.81,11.55,50.83,1.41
2015,1,8,0.0,30.75,13.59,45.61,1.87
2015,1,9,0.0,31.39,12.64,32.21,1.94
2015,1,10,0.0,31.38,12.67,27.65,2.16
2015,1,11,0.0,32.24,12.47,27.01,2.18
2015,1,12,0.0,32.87,13.32,25.06,2.12
2015,1,13,0.0,32.13,12.35,43.64,1.7
2015,1,14,0.0,32.14,14.15,53.88,1.27
2015,1,15,0.0,29.26,14.72,28.41,3.58
2015,1,16,0.0,29.64,11.98,27.48,3.05
2015,1,17,0.0,30.08,11.73,23.86,2.31
2015,1,18,0.0,30.48,11.75,20.65,2.01
2015,1,19,0.0,30.76,11.46,28.17,2.03
2015,1,20,0.11,30.17,13.99,50.44,2.59
2015,1,21,2.79,27.19,16.99,73.38,2.16
2015,1,22,0.34,28.55,15.89,60.28,2.39
2015,1,23,0.0,28.11,13.11,54.42,1.76
2015,1,24,0.0,29.09,13.64,42.27,2.51
2015,1,25,0.0,29.49,13.57,38.27,2.08
