-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: latitude  22.55   longitude 72.95 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 46.84 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,1.06,27.07,15.31,65.33,4.01
2015,1,2,0.01,26.7,11.82,66.36,1.76
2015,1,3,0.0,28.27,13.19,57.77,1.46
2015,1,4,0.0,28.96,12.87,43.49,2.21
2015,1,5,0.0,28.49,10.89,44.15,2.41
2015,1,6,0.0,30.05,10.79,33.93,1.43
2015,1,7,0.0,29.13,12.98,34.33,1.12
2015,1,8,0.0,29.75,11.37,37.07,1.61
2015,1,9,0.0,29.56,10.52,36.54,1.92
2015,1,10,0.0,30.1,10.67,32.54,1.44
2015,1,11,0.0,31.07,11.35,32.04,1.51
2015,1,12,0.0,31.88,12.37,31.57,1.21
2015,1,13,0.0,30.41,12.36,30.4,1.1
2015,1,14,0.0,29.99,14.09,37.65,1.53
2015,1,15,0.0,28.5,12.01,36.7,2.84
2015,1,16,0.0,28.85,10.92,40.99,2.21
2015,1,17,0.0,29.15,9.62,35.11,2.08
2015,1,18,0.0,29.45,10.72,32.18,1.79
2015,1,19,0.0,30.52,12.1,35.67,1.99
2015,1,20,0.0,29.68,13.46,45.24,2.42
2015,1,21,4.62,28.71,15.99,71.63,1.68
2015,1,22,0.04,26.83,16.21,68.3,1.54
2015,1,23,0.0,26.91,14.27,55.78,1.72
2015,1,24,0.01,28.46,13.79,52.4,2.29
2015,1,25,0.72,25.85,16.13,64.71,1.94
2015,1,26,0.0,27.26,13.71,55.31,1.82
2015,1,27,0.0,26.68,9.27,42.32,1.76
2015,1,28,0.0,27.86,11.19,52.8,2.43
2015,1,29,0.0,28.94,10.99,41.26,2.56
2015,1,30,0.0,30.1,9.79,31.84,2.96
2015,1,31,0.0,32.02,9.94,28.65,1.79
2015,2,1,0.0,32.06,11.79,28.88,1.99
2015,2,2,0.0,32.03,15.12,36.3,1.49
2015,2,3,0.0,32.44,14.89,41.34,1.35
2015,2,4,0.0,32.4,14.53,36.4,2.78
2015,2,5,0.0,31.98,15.13,38.88,2.11
2015,2,6,0.0,33.05,16.5,33.03,1.79
2015,2,7,0.0,32.86,14.73,22.43,1.78
2015,2,8,0.0,31.74,13.52,25.59,1.58
2015,2,9,0.0,32.19,13.24,32.49,1.6
2015,2,10,0.04,32.83,15.68,40.96,3.14
2015,2,11,0.0,33.29,17.69,41.18,1.74
2015,2,12,0.0,33.91,14.39,26.72,1.92
2015,2,13,0.0,34.83,13.81,21.05,1.47
2015,2,14,0.0,35.03,17.87,20.61,1.17
2015,2,15,0.0,36.21,18.04,29.86,1.05
2015,2,16,0.0,36.13,17.33,37.58,1.59
2015,2,17,0.0,34.8,16.55,35.21,1.85
2015,2,18,0.0,35.51,17.72,29.81,1.16
2015,2,19,0.0,35.75,17.91,42.15,1.67
2015,2,20,0.0,35.71,17.6,30.84,1.08
2015,2,21,0.0,37.59,18.0,19.65,1.47
2015,2,22,0.0,38.86,19.44,19.99,1.27
2015,2,23,0.0,38.82,19.49,21.17,1.65
2015,2,24,0.0,37.11,21.23,29.21,1.7
2015,2,25,0.0,33.36,18.52,38.61,2.58
2015,2,26,0.0,32.07,15.0,18.13,2.05
2015,2,27,0.0,32.75,12.43,15.38,1.26
2015,2,28,0.14,33.4,15.55,38.66,2.96
2015,3,1,12.94,27.72,17.88,68.18,4.36
2015,3,2,0.15,29.27,16.58,53.64,2.39
2015,3,3,0.0,28.43,13.05,46.85,1.31
2015,3,4,0.0,30.47,14.65,42.18,1.09
2015,3,5,0.0,32.91,15.52,33.38,1.28
2015,3,6,0.0,34.09,16.47,34.69,1.48
2015,3,7,0.0,35.18,17.92,35.04,1.87
2015,3,8,0.0,34.11,19.23,41.47,1.8
2015,3,9,0.0,33.76,16.04,21.14,3.76
2015,3,10,0.0,36.69,15.66,21.56,3.05
2015,3,11,0.0,38.38,18.96,28.97,2.16
2015,3,12,0.36,38.29,20.33,33.4,1.78
2015,3,13,1.11,35.76,22.53,33.54,1.63
2015,3,14,3.59,33.72,21.69,49.87,1.86
2015,3,15,0.11,32.7,20.04,53.08,2.67
2015,3,16,0.0,32.22,16.74,41.73,1.78
2015,3,17,0.0,34.21,16.3,35.02,1.8
2015,3,18,0.0,35.67,16.14,32.6,2.45
2015,3,19,0.0,37.42,16.11,28.42,1.81
2015,3,20,0.0,39.59,18.72,24.15,1.32
2015,3,21,0.0,40.42,21.03,21.72,1.09
2015,3,22,0.0,41.87,22.68,23.79,1.52
2015,3,23,0.0,42.27,22.73,24.82,1.7
2015,3,24,0.0,42.84,22.97,22.46,1.49
