-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: latitude  24.17   longitude 72.43 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 182.83 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.39,26.52,14.2,60.73,3.44
2015,1,2,0.07,25.23,11.6,61.81,1.86
2015,1,3,0.0,26.97,11.97,60.32,1.54
2015,1,4,0.0,27.78,12.11,43.76,1.64
2015,1,5,0.0,28.6,11.05,35.29,1.54
2015,1,6,0.0,29.14,11.42,26.59,1.65
2015,1,7,0.0,28.92,13.86,27.61,1.19
2015,1,8,0.0,29.21,11.87,23.36,1.4
2015,1,9,0.0,29.22,11.24,26.91,1.72
2015,1,10,0.0,29.59,11.38,25.25,1.51
2015,1,11,0.0,30.94,12.04,28.11,1.45
2015,1,12,0.0,31.54,12.14,24.28,1.37
2015,1,13,0.0,29.27,14.57,29.4,1.63
2015,1,14,0.0,28.71,15.45,35.46,1.98
2015,1,15,0.0,26.69,10.81,25.45,2.62
2015,1,16,0.0,27.53,9.93,22.42,2.33
2015,1,17,0.0,27.45,8.98,20.83,1.82
2015,1,18,0.0,27.54,8.73,19.34,1.57
2015,1,19,0.0,28.43,9.54,23.45,1.98
2015,1,20,0.0,28.02,12.59,33.34,2.25
2015,1,21,5.64,22.78,13.93,62.86,1.28
2015,1,22,0.25,24.7,14.35,65.2,1.56
2015,1,23,0.0,24.81,11.52,47.94,1.57
2015,1,24,0.0,25.75,10.01,46.66,1.8
2015,1,25,0.09,25.55,12.33,50.38,1.39
2015,1,26,0.0,25.25,9.73,35.18,1.99
2015,1,27,0.0,24.93,8.79,47.85,2.15
2015,1,28,0.0,25.71,8.9,34.51,2.55
2015,1,29,0.0,27.93,7.89,25.94,2.02
2015,1,30,0.0,28.8,9.58,21.53,2.31
2015,1,31,0.0,30.24,10.24,21.45,1.99
2015,2,1,0.0,29.75,11.28,23.14,2.13
2015,2,2,0.0,29.93,14.6,35.46,1.71
2015,2,3,0.0,30.43,14.85,29.03,2.15
2015,2,4,0.0,30.45,13.07,25.47,2.29
2015,2,5,0.0,30.29,11.5,20.3,1.69
2015,2,6,0.0,30.47,12.75,18.6,1.88
2015,2,7,0.0,30.56,12.89,22.23,1.74
