-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: latitude  21.7   longitude 72.98 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 43.22 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.46,29.63,17.13,58.57,3.09
2015,1,2,0.02,28.19,14.78,61.0,1.47
2015,1,3,0.0,29.63,15.5,56.0,1.66
2015,1,4,0.0,31.22,15.64,44.16,2.69
2015,1,5,0.0,31.1,14.46,38.33,2.73
2015,1,6,0.0,32.32,13.67,29.57,2.18
2015,1,7,0.0,30.81,14.4,27.5,1.46
2015,1,8,0.0,31.7,13.7,30.45,1.58
2015,1,9,0.0,31.97,13.05,29.59,2.6
2015,1,10,0.0,32.45,13.0,24.67,2.33
2015,1,11,0.0,33.3,12.64,25.25,2.07
2015,1,12,0.0,33.95,13.86,25.52,1.71
2015,1,13,0.0,32.7,13.2,26.5,1.65
2015,1,14,0.0,32.6,14.21,27.36,1.53
2015,1,15,0.0,31.16,14.19,41.15,2.46
2015,1,16,0.0,31.53,13.64,36.71,2.41
2015,1,17,0.0,31.49,13.51,34.57,2.29
2015,1,18,0.0,31.78,14.07,33.93,2.22
2015,1,19,0.0,32.61,14.58,34.26,2.03
2015,1,20,0.0,29.93,15.77,51.72,2.28
2015,1,21,1.3,31.45,17.26,65.45,1.59
2015,1,22,0.3,28.8,17.12,66.44,1.62
2015,1,23,0.0,29.77,15.69,54.64,2.21
2015,1,24,0.03,31.29,16.63,47.59,2.72
2015,1,25,0.71,30.38,17.77,57.35,2.36
2015,1,26,0.0,29.15,15.51,53.9,2.14
2015,1,27,0.0,28.31,11.02,32.51,2.53
2015,1,28,0.0,30.69,12.54,51.32,2.75
2015,1,29,0.0,31.41,13.73,39.92,2.95
2015,1,30,0.0,32.49,13.03,30.82,3.22
2015,1,31,0.0,34.33,13.84,24.69,2.35
2015,2,1,0.0,32.6,15.04,31.98,2.32
2015,2,2,0.0,32.86,16.06,53.9,1.63
