-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: latitude  22.17   longitude 71.67 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 53.85 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.2,27.97,14.59,57.81,3.27
2015,1,2,0.0,26.86,12.69,63.04,2.21
2015,1,3,0.0,29.09,13.35,52.88,1.42
2015,1,4,0.0,29.35,13.3,43.29,2.25
2015,1,5,0.0,29.27,12.44,40.49,2.48
2015,1,6,0.0,31.14,11.98,29.02,1.53
2015,1,7,0.0,30.48,11.45,46.49,1.15
2015,1,8,0.0,30.52,13.59,36.22,1.6
2015,1,9,0.0,30.61,12.22,36.66,1.85
2015,1,10,0.0,30.84,11.91,31.87,1.81
2015,1,11,0.0,31.76,11.72,29.93,1.86
2015,1,12,0.0,32.49,12.26,26.31,1.84
2015,1,13,0.0,31.56,11.77,34.37,1.32
2015,1,14,0.0,32.05,14.45,49.96,1.32
2015,1,15,0.0,28.84,13.47,29.51,3.24
2015,1,16,0.0,29.07,11.34,29.45,2.72
2015,1,17,0.0,29.35,10.23,28.41,2.0
2015,1,18,0.0,29.93,10.81,23.34,1.98
2015,1,19,0.0,30.56,10.82,31.0,1.72
2015,1,20,0.06,31.19,14.95,41.31,1.95
2015,1,21,3.68,27.92,16.6,71.66,1.86
2015,1,22,0.02,28.37,16.95,61.94,1.6
2015,1,23,0.0,27.9,13.5,52.6,2.26
2015,1,24,0.0,28.72,13.02,44.44,2.69
2015,1,25,0.03,28.95,15.06,39.06,2.46
2015,1,26,0.0,27.27,12.55,27.98,3.09
2015,1,27,0.0,26.45,9.02,30.22,3.09
2015,1,28,0.0,27.71,9.41,35.34,3.35
2015,1,29,0.0,29.02,9.22,26.17,3.11
2015,1,30,0.0,30.4,10.59,28.38,3.08
2015,1,31,0.0,32.41,10.81,28.88,1.48
2015,2,1,0.0,32.75,12.13,26.76,1.8
2015,2,2,0.0,33.57,14.69,52.81,1.65
2015,2,3,0.0,32.38,15.85,44.13,2.18
2015,2,4,0.0,32.26,14.45,33.3,2.62
2015,2,5,0.0,31.98,14.68,29.41,2.44
2015,2,6,0.0,32.6,14.48,20.69,2.12
2015,2,7,0.0,32.94,13.89,21.17,1.52
2015,2,8,0.0,31.4,13.79,28.11,2.51
2015,2,9,0.0,31.52,13.19,24.94,2.39
2015,2,10,0.0,32.61,15.47,38.91,3.04
2015,2,11,0.0,33.19,16.33,30.07,3.08
2015,2,12,0.0,33.79,14.28,21.75,2.32
2015,2,13,0.0,34.83,14.12,20.43,1.52
2015,2,14,0.0,35.71,14.66,39.76,1.32
2015,2,15,0.0,36.81,16.77,45.2,1.6
2015,2,16,0.0,38.06,16.25,39.31,1.85
2015,2,17,0.0,36.19,15.99,41.25,2.77
2015,2,18,0.0,36.19,18.47,44.69,2.15
2015,2,19,0.0,36.61,17.39,42.6,2.22
2015,2,20,0.0,36.22,16.82,42.89,1.23
2015,2,21,0.0,37.3,18.85,24.82,1.78
2015,2,22,0.0,38.58,19.07,21.89,1.79
2015,2,23,0.0,38.07,19.2,27.36,2.21
2015,2,24,0.0,37.41,19.24,41.91,2.43
2015,2,25,0.0,34.22,18.27,42.71,3.48
2015,2,26,0.0,33.2,15.03,27.92,2.97
2015,2,27,0.0,32.64,13.07,23.78,1.65
2015,2,28,0.25,32.92,15.8,28.6,2.92
2015,3,1,10.02,29.79,17.25,51.59,3.43
2015,3,2,0.08,29.34,14.54,51.07,2.72
2015,3,3,0.0,29.01,13.61,54.66,1.54
2015,3,4,0.0,30.86,15.02,48.91,1.6
2015,3,5,0.0,33.44,15.79,44.71,1.28
2015,3,6,0.0,34.7,16.63,42.74,1.92
2015,3,7,0.0,36.57,18.34,35.31,2.13
2015,3,8,0.0,34.72,19.4,45.01,2.01
2015,3,9,0.0,33.79,15.9,22.92,3.42
2015,3,10,0.0,35.93,15.76,18.38,3.46
2015,3,11,0.0,37.77,16.61,22.2,2.4
2015,3,12,0.13,38.23,19.76,23.43,2.09
2015,3,13,0.67,33.87,22.8,32.5,1.61
2015,3,14,1.63,34.78,22.79,40.56,1.17
2015,3,15,0.04,33.93,19.71,46.29,3.35
2015,3,16,0.0,33.28,16.49,41.82,1.72
2015,3,17,0.0,34.75,17.39,29.17,2.95
2015,3,18,0.0,35.8,17.57,25.91,2.82
