-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: latitude  22.3   longitude 74.01 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 146.69 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,4.89,25.1,14.25,68.86,4.26
2015,1,2,0.15,26.16,11.82,68.2,1.45
2015,1,3,0.02,28.04,13.39,59.97,1.59
2015,1,4,0.0,28.64,13.02,43.84,2.2
2015,1,5,0.0,28.2,10.77,42.75,2.44
2015,1,6,0.0,29.96,10.62,30.78,1.38
2015,1,7,0.0,29.56,12.47,30.44,1.43
2015,1,8,0.0,29.61,11.8,33.96,1.67
2015,1,9,0.0,29.32,11.16,32.43,2.28
2015,1,10,0.0,30.2,11.1,28.26,1.51
2015,1,11,0.0,31.66,11.3,27.65,1.49
2015,1,12,0.0,32.32,11.94,30.38,1.44
2015,1,13,0.0,30.96,11.48,29.39,1.32
2015,1,14,0.0,30.55,12.92,33.78,1.82
2015,1,15,0.0,29.07,12.15,37.71,2.46
2015,1,16,0.0,29.26,11.5,37.36,2.17
2015,1,17,0.0,29.3,10.71,31.56,2.15
2015,1,18,0.0,29.6,11.86,31.07,1.79
2015,1,19,0.0,30.29,12.43,34.06,2.48
2015,1,20,0.0,29.67,13.54,41.35,2.91
2015,1,21,3.99,29.94,14.68,65.9,1.74
2015,1,22,0.27,27.36,15.17,69.54,1.5
2015,1,23,0.0,26.5,14.67,58.87,1.72
2015,1,24,0.12,28.56,14.41,54.9,2.08
2015,1,25,3.79,26.03,15.76,70.48,1.76
2015,1,26,0.0,27.18,13.78,61.14,1.44
2015,1,27,0.0,27.24,10.83,48.12,1.61
2015,1,28,0.0,27.6,12.04,61.28,2.11
2015,1,29,0.0,28.75,11.81,46.1,2.53
2015,1,30,0.0,29.68,10.14,31.75,2.93
2015,1,31,0.0,31.6,10.58,27.65,1.99
2015,2,1,0.0,32.6,12.7,29.12,2.64
2015,2,2,0.0,32.22,12.45,42.73,1.97
2015,2,3,0.0,32.13,14.83,37.81,1.27
2015,2,4,0.0,32.13,14.71,39.99,2.41
2015,2,5,0.0,31.79,15.45,42.34,1.85
2015,2,6,0.0,33.17,16.48,38.7,2.04
2015,2,7,0.0,32.77,14.83,24.69,1.83
2015,2,8,0.0,31.53,14.12,25.36,1.7
2015,2,9,0.0,31.8,13.59,38.59,1.7
2015,2,10,0.28,31.79,16.33,42.83,3.3
2015,2,11,0.03,32.97,17.85,42.91,1.92
2015,2,12,0.0,33.39,15.21,32.91,1.68
2015,2,13,0.0,34.41,14.34,21.68,1.62
2015,2,14,0.0,34.78,16.26,20.04,1.54
2015,2,15,0.0,35.62,16.99,25.91,1.16
2015,2,16,0.0,35.59,15.91,35.61,1.88
2015,2,17,0.0,34.1,17.33,30.39,1.89
2015,2,18,0.0,34.83,16.22,30.32,1.27
2015,2,19,0.0,35.51,16.82,45.28,1.8
2015,2,20,0.0,35.31,18.55,29.91,1.04
2015,2,21,0.0,36.94,17.66,20.15,1.56
2015,2,22,0.0,38.27,18.84,20.53,1.35
2015,2,23,0.0,38.13,19.46,20.57,1.56
2015,2,24,0.0,36.96,20.19,26.9,1.69
2015,2,25,0.0,32.86,18.51,37.8,2.46
2015,2,26,0.0,31.88,15.74,17.95,2.08
2015,2,27,0.0,32.31,13.72,19.51,1.18
2015,2,28,0.0,34.32,15.13,26.47,2.72
2015,3,1,10.72,29.0,17.39,66.81,4.33
2015,3,2,0.43,28.71,15.7,59.95,2.66
2015,3,3,0.0,27.62,13.76,50.8,1.31
2015,3,4,0.0,29.74,14.05,45.68,1.18
2015,3,5,0.0,32.8,14.34,34.96,1.42
2015,3,6,0.0,33.71,15.91,34.99,1.64
2015,3,7,0.0,34.7,17.66,34.87,1.82
2015,3,8,0.0,34.25,19.01,38.44,1.84
2015,3,9,0.0,33.69,16.22,21.21,3.67
2015,3,10,0.0,36.52,16.09,21.67,2.91
2015,3,11,0.06,38.05,20.45,28.32,2.21
2015,3,12,1.17,36.92,21.18,35.88,2.01
2015,3,13,3.76,35.1,23.06,41.93,1.24
2015,3,14,5.61,32.74,21.15,56.8,2.6
2015,3,15,0.6,32.14,19.86,60.22,2.52
2015,3,16,0.02,31.55,16.19,49.93,1.86
2015,3,17,0.0,33.19,15.98,38.54,1.53
2015,3,18,0.0,34.58,15.34,39.61,2.28
2015,3,19,0.0,36.43,16.48,30.06,2.16
2015,3,20,0.0,38.61,18.79,26.21,1.53
2015,3,21,0.0,39.64,20.48,25.0,1.07
2015,3,22,0.0,41.03,23.29,24.76,1.3
2015,3,23,0.0,41.63,22.26,26.26,1.76
2015,3,24,0.0,42.19,23.3,25.54,1.08
2015,3,25,0.0,42.86,23.18,22.39,1.23
2015,3,26,0.0,41.75,25.09,22.35,1.37
2015,3,27,0.0,42.41,25.3,24.64,1.41
2015,3,28,0.01,42.08,24.21,34.06,2.61
2015,3,29,0.49,35.85,26.2,29.2,2.79
2015,3,30,0.0,38.6,24.01,27.62,2.75
2015,3,31,0.0,38.13,20.1,25.6,2.36
2015,4,1,0.0,39.23,19.56,36.91,2.75
2015,4,2,0.0,39.26,20.99,42.96,3.62
2015,4,3,0.0,38.6,21.35,47.26,3.72
2015,4,4,0.0,35.73,21.06,53.93,4.2
2015,4,5,0.0,36.47,22.09,48.41,2.9
2015,4,6,0.0,37.81,21.05,45.28,2.4
2015,4,7,0.18,38.67,20.24,44.18,1.46
2015,4,8,0.07,40.11,22.94,38.29,0.79
2015,4,9,0.16,41.45,23.24,35.48,1.5
2015,4,10,0.0,40.9,23.84,44.91,3.3
2015,4,11,0.05,39.39,23.5,46.33,4.13
2015,4,12,10.57,33.87,22.37,54.33,2.59
2015,4,13,4.59,32.84,22.73,57.23,1.41
2015,4,14,0.8,33.67,21.3,55.83,1.34
2015,4,15,1.08,35.47,21.77,51.95,1.55
2015,4,16,0.0,38.78,23.06,45.82,1.34
2015,4,17,0.0,41.4,23.44,35.46,2.0
2015,4,18,0.0,42.9,24.21,34.5,3.3
2015,4,19,0.0,43.68,23.64,36.75,2.82
2015,4,20,0.0,43.74,24.18,27.55,2.46
2015,4,21,0.0,42.86,24.52,21.76,2.53
2015,4,22,0.0,42.42,24.51,21.45,3.43
2015,4,23,0.0,41.38,22.51,35.21,3.3
2015,4,24,0.0,41.63,23.26,36.21,3.09
2015,4,25,0.0,42.73,23.61,41.05,3.63
2015,4,26,0.0,43.47,24.13,42.73,3.73
2015,4,27,0.0,44.52,24.74,41.2,3.55
2015,4,28,0.0,43.9,24.93,35.68,4.1
2015,4,29,0.0,43.32,25.06,33.41,3.12
2015,4,30,0.0,43.33,24.86,40.79,3.86
2015,5,1,0.0,42.78,24.45,36.84,3.04
2015,5,2,0.0,43.87,24.95,36.52,2.79
