-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: latitude  22.23   longitude 68.97 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.98 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.0,23.88,20.47,58.97,7.61
2015,1,2,0.0,23.71,20.64,70.84,6.06
2015,1,3,0.0,23.46,21.85,66.66,4.41
2015,1,4,0.0,24.76,22.03,63.93,4.76
2015,1,5,0.0,25.63,21.22,63.35,4.73
2015,1,6,0.0,23.31,22.04,67.85,4.15
2015,1,7,0.0,22.98,22.28,75.38,3.6
2015,1,8,0.0,23.8,22.37,74.72,3.01
2015,1,9,0.0,25.11,21.97,65.8,4.05
2015,1,10,0.0,25.17,21.59,60.34,3.94
2015,1,11,0.0,24.05,21.63,64.88,4.07
2015,1,12,0.0,23.35,22.34,73.5,4.74
2015,1,13,0.0,23.63,21.86,80.51,4.26
2015,1,14,0.0,24.11,23.16,73.95,3.29
2015,1,15,0.0,24.89,20.88,54.46,6.93
2015,1,16,0.0,24.41,20.37,53.76,6.77
2015,1,17,0.0,24.06,20.5,52.95,5.44
2015,1,18,0.0,23.89,20.93,51.01,4.68
2015,1,19,0.0,25.08,21.24,44.96,3.31
2015,1,20,0.31,24.07,22.47,61.17,3.0
2015,1,21,2.79,22.89,21.06,72.03,3.08
2015,1,22,0.01,22.4,21.38,64.41,4.29
2015,1,23,0.0,23.13,20.93,60.97,4.69
2015,1,24,0.0,23.0,20.36,57.5,6.0
2015,1,25,0.0,23.18,20.74,51.19,5.79
2015,1,26,0.0,22.49,20.92,53.59,5.62
2015,1,27,0.0,23.02,20.75,51.59,5.21
2015,1,28,0.0,22.72,20.05,49.4,6.53
2015,1,29,0.0,23.56,20.16,47.32,5.98
2015,1,30,0.0,24.9,21.07,50.83,5.48
2015,1,31,0.0,23.87,20.77,59.05,3.62
2015,2,1,0.0,23.18,22.31,71.47,3.6
2015,2,2,0.0,23.61,22.88,71.52,2.4
2015,2,3,0.0,25.5,21.81,66.62,3.81
2015,2,4,0.0,26.0,21.81,58.65,5.3
2015,2,5,0.0,25.97,20.73,60.68,5.25
2015,2,6,0.0,24.23,20.99,68.82,4.07
2015,2,7,0.0,23.45,22.43,67.5,4.45
2015,2,8,0.0,23.63,22.11,63.09,4.7
2015,2,9,0.0,24.87,21.68,57.74,5.64
2015,2,10,0.0,25.72,21.37,61.85,5.95
2015,2,11,0.0,24.57,21.61,61.71,5.86
2015,2,12,0.0,23.95,22.07,66.99,5.24
2015,2,13,0.0,23.75,23.01,74.68,4.19
2015,2,14,0.0,24.37,22.88,73.99,4.01
2015,2,15,0.0,24.64,23.6,75.54,3.73
2015,2,16,0.0,25.24,23.56,78.95,4.48
2015,2,17,0.0,25.04,23.88,81.67,4.51
2015,2,18,0.0,24.71,24.04,79.49,4.2
2015,2,19,0.0,24.98,24.34,79.34,4.31
2015,2,20,0.0,25.2,24.01,78.7,3.44
