-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: latitude  22.98   longitude 74.22 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 319.96 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,10.84,19.55,11.84,79.39,4.49
2015,1,2,0.54,24.88,11.22,75.48,1.88
2015,1,3,0.03,25.92,11.49,66.39,1.74
2015,1,4,0.01,25.99,10.7,54.04,2.17
2015,1,5,0.0,25.99,9.01,45.85,2.16
2015,1,6,0.0,27.71,9.06,36.41,1.23
2015,1,7,0.0,27.59,10.41,38.23,1.55
2015,1,8,0.0,27.2,9.79,39.94,1.73
2015,1,9,0.0,27.24,9.66,35.09,2.02
2015,1,10,0.0,28.17,9.05,32.6,1.01
2015,1,11,0.0,30.01,10.03,31.95,1.29
2015,1,12,0.0,30.74,10.84,34.51,1.37
2015,1,13,0.0,29.17,10.03,32.69,1.45
2015,1,14,0.0,29.03,11.63,37.32,2.13
2015,1,15,0.0,26.91,10.08,40.41,2.78
2015,1,16,0.0,27.37,10.35,37.62,2.42
2015,1,17,0.0,27.43,9.48,30.89,2.29
2015,1,18,0.0,27.92,10.1,30.9,2.03
2015,1,19,0.0,28.63,10.38,33.76,2.6
2015,1,20,0.0,28.16,11.97,37.13,3.19
2015,1,21,4.67,28.61,13.21,59.27,1.77
2015,1,22,0.36,25.87,13.73,72.25,1.64
2015,1,23,0.0,24.5,13.84,64.9,1.72
2015,1,24,0.06,26.51,12.39,62.57,2.02
2015,1,25,9.57,23.56,14.55,77.27,1.98
2015,1,26,0.01,25.22,12.18,69.59,1.45
2015,1,27,0.0,25.17,10.66,65.44,1.73
2015,1,28,0.0,25.21,10.66,67.72,2.14
2015,1,29,0.0,26.67,9.92,49.32,2.56
2015,1,30,0.0,27.25,8.23,36.01,2.85
2015,1,31,0.0,29.6,9.49,29.71,1.79
2015,2,1,0.0,30.16,11.39,34.83,2.74
2015,2,2,0.0,30.74,11.56,38.02,2.07
2015,2,3,0.0,30.38,13.97,43.29,1.43
2015,2,4,0.0,29.92,12.43,45.66,2.43
2015,2,5,0.0,29.96,13.17,43.02,1.96
2015,2,6,0.0,31.49,15.05,41.53,2.43
2015,2,7,0.0,31.17,13.95,29.18,2.02
2015,2,8,0.0,30.56,14.26,27.42,1.81
2015,2,9,0.0,30.11,13.37,50.0,2.29
2015,2,10,0.33,30.2,13.9,47.54,3.26
2015,2,11,0.34,30.71,16.3,45.61,2.21
2015,2,12,0.0,31.75,14.01,38.82,1.87
2015,2,13,0.0,32.9,12.94,23.97,1.77
2015,2,14,0.0,33.53,15.78,21.84,1.75
2015,2,15,0.0,34.4,15.77,24.4,1.26
2015,2,16,0.0,34.83,15.41,27.03,2.19
2015,2,17,0.0,33.22,15.58,28.3,2.18
2015,2,18,0.0,33.66,16.14,26.06,1.41
2015,2,19,0.0,34.14,16.58,32.06,1.77
2015,2,20,0.0,34.17,16.86,29.01,1.21
2015,2,21,0.0,35.38,16.69,22.23,1.43
2015,2,22,0.0,36.89,17.52,22.53,1.47
2015,2,23,0.0,36.54,17.68,21.98,1.63
2015,2,24,0.0,35.83,18.66,24.31,2.01
2015,2,25,0.0,31.97,17.9,34.98,2.88
2015,2,26,0.0,30.88,14.41,17.25,2.43
2015,2,27,0.0,30.95,12.6,16.0,1.42
2015,2,28,0.0,32.76,14.75,21.59,2.7
2015,3,1,7.33,28.46,16.08,64.69,4.55
2015,3,2,0.83,27.21,14.39,61.23,3.04
2015,3,3,0.0,26.49,12.54,47.59,1.58
