-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: latitude  20.9   longitude 70.37 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 97.99 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.01,27.04,13.59,46.25,2.76
2015,1,2,0.01,26.94,15.05,62.74,2.69
2015,1,3,0.0,28.22,16.37,60.21,1.33
2015,1,4,0.0,29.11,16.46,49.91,3.03
2015,1,5,0.0,29.98,16.42,44.21,3.29
2015,1,6,0.0,30.66,15.28,36.81,2.54
2015,1,7,0.0,28.57,13.92,62.71,2.44
2015,1,8,0.0,29.42,15.79,60.74,2.26
2015,1,9,0.0,30.61,15.66,46.16,2.02
2015,1,10,0.0,30.7,15.78,36.2,2.63
2015,1,11,0.0,31.27,15.22,34.65,2.42
2015,1,12,0.0,31.57,15.43,35.85,2.54
2015,1,13,0.0,30.02,14.69,59.29,2.73
2015,1,14,0.0,29.68,16.63,67.11,2.04
2015,1,15,0.0,29.16,16.84,38.78,3.93
2015,1,16,0.0,29.48,14.13,35.03,3.22
2015,1,17,0.0,29.67,14.48,33.43,2.79
2015,1,18,0.0,29.63,14.43,33.87,2.4
2015,1,19,0.0,29.58,14.31,37.74,2.75
2015,1,20,0.67,27.86,17.48,63.5,2.84
2015,1,21,4.49,26.03,19.72,75.32,2.59
2015,1,22,2.14,26.4,17.07,67.89,3.12
2015,1,23,0.0,26.46,14.58,60.85,2.18
2015,1,24,0.0,28.22,15.37,48.11,2.37
2015,1,25,0.0,27.99,14.85,45.09,2.58
2015,1,26,0.0,26.94,14.51,34.57,3.73
2015,1,27,0.0,26.54,12.92,32.54,4.33
