-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: latitude  23.73   longitude 69.86 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 28.58 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.01,25.8,10.89,36.45,4.43
2015,1,2,0.0,26.25,14.62,58.84,3.11
2015,1,3,0.0,27.77,12.75,54.08,1.96
2015,1,4,0.0,28.8,12.76,46.14,2.19
2015,1,5,0.0,29.16,12.12,35.45,2.17
2015,1,6,0.0,30.35,14.09,36.86,2.06
2015,1,7,0.0,29.62,14.15,63.69,1.5
2015,1,8,0.0,30.44,14.42,43.31,1.56
2015,1,9,0.0,30.5,15.08,24.43,1.17
2015,1,10,0.0,30.17,12.85,28.87,1.53
2015,1,11,0.0,30.3,12.12,30.4,1.78
2015,1,12,0.0,30.54,12.65,48.93,1.9
2015,1,13,0.0,31.35,14.3,68.0,2.8
2015,1,14,0.0,28.98,15.41,49.44,2.29
2015,1,15,0.0,26.58,11.58,26.97,3.81
2015,1,16,0.0,25.85,9.77,35.08,3.45
2015,1,17,0.0,26.89,8.47,32.36,2.63
2015,1,18,0.0,27.42,8.74,24.49,2.04
2015,1,19,0.0,28.29,8.88,17.94,1.57
2015,1,20,0.0,28.91,10.24,29.08,1.96
2015,1,21,1.39,27.63,16.59,63.83,2.14
2015,1,22,0.0,26.2,13.04,58.02,2.18
2015,1,23,0.0,25.39,12.15,43.13,2.71
2015,1,24,0.0,24.73,9.98,33.56,3.11
2015,1,25,0.0,25.63,9.5,28.96,2.81
2015,1,26,0.0,25.11,9.37,32.79,2.75
2015,1,27,0.0,24.65,8.13,27.72,2.76
2015,1,28,0.0,24.35,8.65,24.16,3.38
2015,1,29,0.0,26.35,7.47,22.45,2.53
2015,1,30,0.0,28.66,9.05,21.05,2.58
2015,1,31,0.0,30.88,9.97,19.86,1.78
2015,2,1,0.0,29.64,11.75,63.58,2.28
2015,2,2,0.0,30.6,16.01,65.28,1.93
2015,2,3,0.0,30.35,14.7,31.54,2.7
2015,2,4,0.0,30.34,13.28,23.93,3.3
2015,2,5,0.0,30.02,11.69,21.54,2.72
2015,2,6,0.0,30.3,12.16,20.15,1.95
2015,2,7,0.0,30.11,14.28,30.45,1.87
2015,2,8,0.0,28.89,12.68,36.13,2.9
2015,2,9,0.0,29.32,12.89,33.31,3.2
2015,2,10,0.0,30.4,13.77,35.45,3.61
2015,2,11,0.0,30.38,13.58,25.69,2.8
2015,2,12,0.0,32.07,13.17,20.25,1.74
2015,2,13,0.0,33.89,14.41,51.14,2.4
2015,2,14,0.0,34.29,15.58,62.44,2.59
2015,2,15,0.0,35.67,17.29,60.22,2.88
2015,2,16,0.0,37.06,16.55,59.26,4.02
2015,2,17,0.0,34.82,17.36,59.36,2.74
2015,2,18,0.0,34.73,18.08,56.35,2.75
2015,2,19,0.0,34.55,17.69,62.7,3.45
2015,2,20,0.0,35.27,17.84,54.94,1.77
2015,2,21,0.0,36.32,18.38,45.31,2.01
2015,2,22,0.0,37.68,19.2,24.2,1.44
2015,2,23,0.0,37.2,20.26,33.97,2.35
2015,2,24,0.0,34.07,19.84,57.52,4.37
2015,2,25,0.0,29.86,16.86,34.2,3.9
2015,2,26,0.0,29.03,13.42,29.7,3.08
2015,2,27,0.0,30.01,12.27,17.97,1.27
2015,2,28,1.3,28.6,14.42,32.79,3.45
2015,3,1,5.16,27.18,15.01,46.2,2.52
2015,3,2,0.0,27.65,12.61,50.19,2.72
2015,3,3,0.0,28.59,14.16,52.4,2.74
2015,3,4,0.0,30.28,15.01,48.63,2.71
2015,3,5,0.0,32.23,15.2,53.76,2.39
2015,3,6,0.04,32.97,17.5,55.65,1.94
2015,3,7,0.0,32.46,18.18,50.41,3.22
2015,3,8,0.0,32.47,16.33,39.64,2.11
2015,3,9,0.0,32.13,14.16,11.55,4.11
2015,3,10,0.0,31.54,13.26,15.01,4.27
2015,3,11,0.0,33.87,15.04,17.87,2.98
2015,3,12,0.0,35.93,16.35,18.03,1.92
2015,3,13,0.24,35.14,19.62,28.11,2.37
2015,3,14,0.18,32.86,19.97,50.34,3.44
2015,3,15,0.01,30.77,16.58,50.24,3.23
2015,3,16,0.0,31.56,16.05,46.76,1.54
2015,3,17,0.0,33.54,17.7,39.71,2.51
2015,3,18,0.0,34.55,17.23,27.36,1.98
2015,3,19,0.0,36.23,18.8,29.14,1.15
2015,3,20,0.0,38.07,20.49,39.37,1.74
2015,3,21,0.0,39.21,22.64,35.17,2.36
2015,3,22,0.0,39.06,24.2,23.88,2.45
2015,3,23,0.0,40.88,22.9,28.09,2.38
2015,3,24,0.0,40.96,22.89,33.74,3.71
2015,3,25,0.0,41.86,20.68,38.37,2.85
2015,3,26,0.0,42.23,23.49,30.1,2.93
2015,3,27,0.0,41.18,25.49,33.02,2.43
2015,3,28,0.0,41.59,24.08,35.65,3.7
2015,3,29,0.0,39.35,25.18,38.7,5.02
2015,3,30,0.0,37.97,20.54,45.03,3.87
2015,3,31,0.0,38.39,19.91,42.58,3.44
2015,4,1,0.0,38.91,20.42,56.02,4.92
2015,4,2,0.0,38.0,22.3,60.2,5.64
2015,4,3,0.0,36.6,21.68,60.48,5.8
2015,4,4,0.01,35.9,23.68,56.75,5.14
2015,4,5,0.01,37.44,22.11,54.85,3.6
2015,4,6,0.0,37.99,20.99,47.72,1.92
2015,4,7,0.08,38.06,22.54,44.65,1.8
2015,4,8,0.0,39.39,24.16,35.38,1.85
2015,4,9,0.0,40.67,24.43,23.56,1.79
2015,4,10,0.0,41.49,25.61,27.47,2.64
2015,4,11,0.0,37.86,24.16,50.22,4.75
2015,4,12,0.19,38.6,22.5,52.25,2.58
2015,4,13,0.17,38.93,23.96,44.01,2.4
2015,4,14,0.0,39.27,25.55,30.2,2.34
2015,4,15,0.0,40.19,25.33,27.91,1.9
2015,4,16,0.0,42.23,25.14,27.73,1.69
2015,4,17,0.0,43.6,25.6,36.81,4.01
2015,4,18,0.0,43.25,24.57,45.02,5.22
2015,4,19,0.0,44.03,24.57,46.71,4.77
2015,4,20,0.0,43.32,23.4,41.59,4.89
2015,4,21,0.0,42.93,25.08,30.49,4.81
2015,4,22,0.0,42.19,23.69,30.68,4.51
2015,4,23,0.0,41.47,22.93,44.83,5.51
2015,4,24,0.0,41.58,22.45,49.53,4.55
2015,4,25,0.0,42.79,22.89,50.0,4.07
2015,4,26,0.0,43.09,23.6,52.39,4.78
2015,4,27,0.0,43.57,24.0,53.57,5.59
2015,4,28,0.0,41.31,24.27,55.64,5.75
2015,4,29,0.0,43.6,23.45,54.57,4.75
2015,4,30,0.0,42.55,24.04,54.34,5.69
2015,5,1,0.0,44.56,23.94,46.71,3.95
2015,5,2,0.0,44.35,23.67,40.97,3.68
2015,5,3,0.0,43.82,23.47,40.29,4.07
2015,5,4,0.0,43.3,23.83,41.81,4.06
2015,5,5,0.0,43.48,23.26,44.2,3.74
2015,5,6,0.0,41.79,23.23,49.68,4.09
2015,5,7,0.0,41.38,25.39,51.83,4.87
2015,5,8,0.0,42.12,26.42,47.88,5.36
2015,5,9,0.0,42.76,26.33,48.14,4.85
2015,5,10,0.01,41.27,25.87,54.48,5.09
2015,5,11,0.07,39.29,26.27,59.45,4.61
2015,5,12,0.96,41.49,26.33,51.83,3.91
2015,5,13,0.03,42.46,26.44,45.0,4.2
2015,5,14,0.19,42.4,25.21,47.08,3.26
2015,5,15,0.0,44.01,26.46,42.22,4.11
2015,5,16,0.0,44.77,25.25,41.35,5.34
2015,5,17,0.0,44.07,24.96,45.98,5.47
2015,5,18,0.0,42.98,25.62,52.7,5.84
2015,5,19,0.0,41.84,26.6,55.89,5.89
2015,5,20,0.0,42.91,26.57,54.79,5.49
2015,5,21,0.0,43.5,26.54,52.9,6.1
2015,5,22,0.0,43.01,26.51,55.49,6.34
2015,5,23,0.0,41.92,27.47,57.46,7.16
2015,5,24,0.0,40.98,28.11,60.4,7.47
2015,5,25,0.0,41.05,27.33,60.39,7.16
2015,5,26,0.0,40.32,27.46,60.37,6.74
2015,5,27,0.0,40.42,27.74,60.03,6.39
2015,5,28,0.0,40.79,27.39,58.72,6.03
2015,5,29,0.0,38.87,27.25,57.15,4.04
2015,5,30,0.0,41.73,25.85,58.6,5.28
2015,5,31,0.0,43.91,26.08,54.52,4.94
2015,6,1,0.0,42.05,26.25,59.98,6.24
2015,6,2,0.45,38.85,27.95,58.69,6.22
2015,6,3,3.06,39.64,27.55,50.46,2.15
2015,6,4,8.52,38.26,28.28,52.78,2.03
2015,6,5,0.04,40.08,26.58,46.98,2.18
2015,6,6,0.0,41.53,27.24,47.26,4.02
2015,6,7,0.0,41.77,25.91,50.37,4.42
2015,6,8,0.62,39.3,28.44,48.7,3.54
2015,6,9,3.4,35.83,29.29,57.37,4.45
2015,6,10,2.44,36.44,27.75,60.02,4.49
2015,6,11,1.49,38.66,27.78,57.0,3.92
2015,6,12,0.0,39.52,28.45,57.59,4.97
2015,6,13,2.09,39.32,28.3,58.98,6.04
2015,6,14,1.18,38.96,28.4,60.38,6.27
2015,6,15,0.79,39.01,28.5,61.55,5.85
2015,6,16,5.16,38.17,28.24,60.57,3.78
2015,6,17,6.18,37.73,27.82,63.6,2.6
2015,6,18,3.0,34.8,28.57,70.08,2.04
2015,6,19,1.71,35.94,28.22,65.92,2.24
2015,6,20,0.45,38.46,28.46,60.94,3.04
2015,6,21,0.36,36.05,28.82,65.22,4.32
2015,6,22,0.15,37.57,28.63,63.59,4.77
2015,6,23,9.21,38.17,27.89,64.11,3.18
2015,6,24,17.9,34.94,28.11,70.26,5.87
2015,6,25,1.73,36.85,28.13,70.14,5.59
2015,6,26,0.01,38.38,27.44,67.88,5.26
2015,6,27,0.0,37.82,27.49,65.8,5.58
2015,6,28,0.0,38.87,27.66,63.08,4.89
2015,6,29,0.0,39.1,27.63,60.67,4.68
2015,6,30,0.0,38.26,27.38,60.74,5.67
2015,7,1,0.0,37.66,27.46,60.59,6.55
2015,7,2,0.0,37.47,27.31,60.59,6.15
2015,7,3,0.0,38.12,27.53,59.63,7.04
2015,7,4,0.0,37.45,27.85,61.36,8.26
2015,7,5,0.0,36.77,27.89,63.57,9.07
2015,7,6,0.0,37.11,28.01,62.81,8.47
2015,7,7,0.0,37.54,28.14,63.0,6.93
2015,7,8,0.0,38.09,27.49,62.5,6.08
2015,7,9,0.0,38.03,28.03,61.92,6.93
2015,7,10,0.0,37.62,27.87,60.86,7.11
2015,7,11,0.0,38.52,27.59,59.92,4.99
2015,7,12,0.35,39.13,27.66,59.0,4.65
2015,7,13,0.15,38.62,28.08,58.37,4.87
