-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: latitude  22.75   longitude 72.68 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 46.53 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.92,27.69,15.23,63.15,3.82
2015,1,2,0.03,26.8,12.19,62.48,1.9
2015,1,3,0.0,28.07,12.54,57.75,1.38
2015,1,4,0.0,28.33,12.86,45.16,1.99
2015,1,5,0.0,28.16,11.14,39.69,2.27
2015,1,6,0.0,30.02,9.99,29.26,1.3
2015,1,7,0.0,29.26,12.37,34.63,0.97
2015,1,8,0.0,29.46,11.2,30.65,1.8
2015,1,9,0.0,29.55,10.02,33.29,1.71
2015,1,10,0.0,30.1,10.42,29.57,1.23
2015,1,11,0.0,30.99,11.41,30.71,1.55
2015,1,12,0.0,31.87,12.03,28.33,1.12
2015,1,13,0.0,30.42,11.96,27.69,1.05
2015,1,14,0.0,30.38,14.41,47.57,1.86
2015,1,15,0.0,27.95,12.15,28.88,2.66
2015,1,16,0.0,28.38,10.4,29.38,2.14
2015,1,17,0.0,28.45,9.4,27.0,2.07
2015,1,18,0.0,28.65,9.05,23.95,1.73
2015,1,19,0.0,29.74,10.09,30.7,1.89
2015,1,20,0.0,29.56,13.03,37.76,2.08
2015,1,21,5.81,25.65,15.36,71.81,1.6
2015,1,22,0.0,26.87,16.37,64.62,1.49
2015,1,23,0.0,26.92,13.15,47.99,1.73
2015,1,24,0.0,27.56,11.63,47.01,2.07
2015,1,25,0.41,26.78,15.14,51.74,1.38
2015,1,26,0.0,26.66,11.52,37.77,2.07
2015,1,27,0.0,25.87,8.88,43.55,1.91
2015,1,28,0.0,27.04,9.77,39.31,2.49
2015,1,29,0.0,28.55,8.26,32.71,2.26
2015,1,30,0.0,29.52,9.55,29.44,2.7
2015,1,31,0.0,31.35,9.35,26.19,1.65
2015,2,1,0.0,31.44,11.32,26.11,1.71
2015,2,2,0.0,31.87,14.99,38.91,1.28
2015,2,3,0.0,32.14,16.22,35.95,1.72
2015,2,4,0.0,31.73,13.55,29.46,2.56
2015,2,5,0.0,31.28,13.46,26.55,1.94
2015,2,6,0.0,32.1,14.02,20.21,2.04
2015,2,7,0.0,32.3,13.93,20.46,1.79
2015,2,8,0.0,31.44,13.41,24.15,1.75
2015,2,9,0.0,31.47,12.82,33.8,2.13
2015,2,10,0.01,32.25,14.95,38.79,2.95
2015,2,11,0.02,32.79,16.14,32.87,2.22
2015,2,12,0.0,33.6,13.58,22.26,1.92
2015,2,13,0.0,34.59,13.41,17.7,1.47
2015,2,14,0.0,34.82,15.58,26.14,1.27
2015,2,15,0.0,36.11,16.38,34.45,1.14
2015,2,16,0.0,36.4,16.1,40.29,1.83
2015,2,17,0.0,34.74,15.51,43.35,2.09
2015,2,18,0.0,35.4,17.13,28.69,0.99
2015,2,19,0.0,35.67,17.12,34.73,1.79
2015,2,20,0.0,35.47,16.34,41.74,0.91
2015,2,21,0.0,37.17,18.29,21.7,1.36
2015,2,22,0.0,38.61,19.42,19.96,1.38
2015,2,23,0.0,38.13,18.95,20.49,1.77
2015,2,24,0.0,35.92,19.51,33.24,2.0
2015,2,25,0.0,33.01,17.62,34.43,3.2
2015,2,26,0.0,31.82,13.39,17.27,2.38
2015,2,27,0.0,32.37,12.46,13.06,1.18
2015,2,28,0.12,32.38,15.18,25.46,2.96
2015,3,1,14.77,27.02,13.84,58.06,2.73
2015,3,2,0.22,28.49,14.26,50.86,2.33
2015,3,3,0.0,27.85,12.69,51.39,1.47
2015,3,4,0.0,30.1,13.57,43.5,1.24
2015,3,5,0.0,32.38,17.07,36.65,0.99
2015,3,6,0.0,33.67,16.5,38.06,1.35
2015,3,7,0.0,34.85,17.9,36.52,2.27
2015,3,8,0.0,33.73,19.1,42.61,1.89
2015,3,9,0.0,33.34,15.04,19.15,3.21
2015,3,10,0.0,34.65,14.79,18.71,3.11
2015,3,11,0.0,37.26,16.69,25.62,1.72
2015,3,12,0.21,37.93,19.04,25.33,2.05
2015,3,13,1.16,35.52,20.6,31.38,2.21
2015,3,14,3.85,31.89,22.1,47.12,1.33
2015,3,15,0.23,32.2,19.14,46.9,2.66
2015,3,16,0.0,32.08,15.84,43.88,1.67
2015,3,17,0.0,34.1,16.22,30.54,2.54
2015,3,18,0.0,35.39,16.21,28.4,2.17
2015,3,19,0.0,36.7,15.84,27.98,1.58
2015,3,20,0.0,38.65,18.1,24.53,1.16
2015,3,21,0.0,40.04,21.4,24.21,1.04
2015,3,22,0.0,41.78,23.33,23.73,1.92
2015,3,23,0.0,42.1,23.12,22.91,1.57
2015,3,24,0.0,42.42,22.8,21.51,1.68
2015,3,25,0.0,43.15,22.93,21.0,1.58
2015,3,26,0.0,40.08,26.2,20.17,1.42
2015,3,27,0.0,43.29,25.63,22.43,1.49
2015,3,28,0.01,43.17,23.74,26.53,2.4
2015,3,29,0.02,38.35,26.67,27.16,3.19
2015,3,30,0.0,38.58,23.29,28.03,2.83
2015,3,31,0.0,39.18,19.87,31.34,2.13
2015,4,1,0.0,40.26,21.57,31.71,2.93
2015,4,2,0.0,39.95,21.15,47.63,3.49
2015,4,3,0.0,39.55,21.27,45.28,3.2
