-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: latitude  23.59   longitude 72.37 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 97.59 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.7,27.44,14.93,62.09,3.75
2015,1,2,0.05,26.22,12.13,61.27,1.85
2015,1,3,0.0,27.63,12.42,58.93,1.44
2015,1,4,0.0,28.05,12.64,45.32,1.8
2015,1,5,0.0,28.38,11.19,36.83,1.92
2015,1,6,0.0,29.77,10.4,26.8,1.47
2015,1,7,0.0,29.17,12.99,31.3,1.14
2015,1,8,0.0,29.32,11.63,25.23,1.72
2015,1,9,0.0,29.5,10.6,29.4,1.55
2015,1,10,0.0,30.01,10.8,26.85,1.35
2015,1,11,0.0,31.21,11.94,28.56,1.47
2015,1,12,0.0,31.84,11.72,26.2,1.29
2015,1,13,0.0,30.02,13.03,27.9,1.41
2015,1,14,0.0,29.76,15.16,41.36,1.87
2015,1,15,0.0,27.53,11.79,25.77,2.52
2015,1,16,0.0,28.05,10.44,24.11,2.21
2015,1,17,0.0,28.0,9.51,22.22,2.05
2015,1,18,0.0,28.03,8.84,20.92,1.61
2015,1,19,0.0,29.1,9.63,27.02,1.96
2015,1,20,0.0,28.74,12.93,34.22,2.15
2015,1,21,6.11,24.06,14.45,67.61,1.45
2015,1,22,0.02,25.89,15.37,65.63,1.49
2015,1,23,0.0,25.98,12.63,47.47,1.63
2015,1,24,0.0,26.68,10.79,46.8,1.85
2015,1,25,0.27,26.06,14.2,51.92,1.21
2015,1,26,0.0,26.08,10.67,34.93,1.95
2015,1,27,0.0,25.49,9.11,46.24,1.9
2015,1,28,0.0,26.41,9.2,36.53,2.43
2015,1,29,0.0,28.19,8.06,29.38,2.07
2015,1,30,0.0,29.08,9.6,25.84,2.43
2015,1,31,0.0,30.78,9.84,24.18,1.87
2015,2,1,0.0,30.69,11.02,25.33,1.95
2015,2,2,0.0,30.99,14.92,36.78,1.55
2015,2,3,0.0,31.46,16.04,31.66,1.87
2015,2,4,0.0,31.17,13.28,27.06,2.39
2015,2,5,0.0,30.84,12.46,22.53,1.74
2015,2,6,0.0,31.42,13.38,19.11,1.94
2015,2,7,0.0,31.49,13.42,21.37,1.78
2015,2,8,0.0,31.03,13.63,23.74,1.88
2015,2,9,0.0,30.85,13.34,37.41,2.32
2015,2,10,0.0,31.59,15.09,37.44,2.81
2015,2,11,0.02,32.19,15.29,29.97,2.24
2015,2,12,0.0,33.27,13.26,20.5,1.96
2015,2,13,0.0,34.08,13.66,16.62,1.54
2015,2,14,0.0,34.23,16.19,25.06,1.46
2015,2,15,0.0,35.71,18.01,30.05,1.03
2015,2,16,0.0,35.77,15.96,38.78,1.91
2015,2,17,0.0,34.35,15.6,39.81,2.04
2015,2,18,0.0,34.72,16.6,25.43,1.33
2015,2,19,0.0,34.94,18.36,30.2,1.74
2015,2,20,0.0,34.86,16.16,41.39,1.0
2015,2,21,0.0,36.68,18.4,23.65,1.55
2015,2,22,0.0,38.27,19.44,19.54,1.32
2015,2,23,0.0,37.38,18.7,20.23,1.87
2015,2,24,0.0,34.89,19.51,30.44,2.09
2015,2,25,0.0,32.03,16.91,32.27,3.13
2015,2,26,0.0,30.88,13.43,13.61,2.15
2015,2,27,0.0,31.75,12.46,13.09,1.46
2015,2,28,0.03,32.76,15.08,20.26,2.6
2015,3,1,13.79,26.81,13.86,55.66,2.13
2015,3,2,0.34,27.77,13.99,51.71,2.14
2015,3,3,0.0,26.79,12.4,50.44,1.46
2015,3,4,0.0,29.5,13.12,43.83,1.47
2015,3,5,0.0,31.69,16.85,37.52,1.24
2015,3,6,0.0,33.12,17.03,37.58,1.32
2015,3,7,0.0,33.95,17.43,38.25,2.37
2015,3,8,0.0,33.06,18.0,40.46,1.8
2015,3,9,0.0,32.98,14.66,16.07,3.16
2015,3,10,0.0,33.74,13.62,17.74,2.86
2015,3,11,0.0,36.54,16.19,23.74,2.11
2015,3,12,0.04,37.45,18.8,22.11,2.27
2015,3,13,1.23,35.62,19.87,29.15,2.07
2015,3,14,4.01,30.78,21.94,48.23,1.5
2015,3,15,0.27,31.2,18.72,45.72,2.67
2015,3,16,0.0,31.63,15.85,38.31,1.44
2015,3,17,0.0,33.68,16.14,30.26,2.64
2015,3,18,0.0,35.03,15.93,28.07,2.07
2015,3,19,0.0,36.17,16.36,26.51,1.57
2015,3,20,0.0,38.25,18.41,24.91,1.22
2015,3,21,0.0,39.53,21.85,25.03,1.18
2015,3,22,0.0,41.22,23.22,23.34,2.11
2015,3,23,0.0,41.66,23.17,22.22,1.68
2015,3,24,0.0,41.84,22.53,21.11,1.61
2015,3,25,0.0,42.69,23.06,20.32,1.64
2015,3,26,0.0,40.42,26.05,19.88,1.36
2015,3,27,0.0,42.08,26.26,20.16,1.62
2015,3,28,0.0,42.86,23.76,23.31,2.36
2015,3,29,0.0,39.03,26.26,25.21,3.16
2015,3,30,0.0,37.6,22.23,26.51,2.74
2015,3,31,0.0,38.86,19.45,28.7,2.17
2015,4,1,0.0,39.61,21.21,28.4,3.13
2015,4,2,0.0,39.17,21.43,46.87,3.67
2015,4,3,0.0,38.8,21.22,46.86,3.85
2015,4,4,0.12,35.82,22.2,49.46,3.73
2015,4,5,0.0,37.15,21.69,46.52,2.09
2015,4,6,0.33,38.09,21.41,36.14,1.25
2015,4,7,0.34,39.03,22.04,33.42,1.13
2015,4,8,0.0,40.24,26.16,28.29,2.3
2015,4,9,0.0,41.17,24.97,21.89,2.53
2015,4,10,0.0,41.79,24.13,20.48,2.29
2015,4,11,0.13,39.47,23.87,32.3,3.51
2015,4,12,17.59,36.65,22.77,48.84,2.43
2015,4,13,0.9,35.15,22.26,51.62,1.89
2015,4,14,0.03,36.19,22.24,44.35,2.29
2015,4,15,0.05,37.32,22.75,45.13,1.93
2015,4,16,0.0,40.0,24.28,38.94,1.4
2015,4,17,0.0,41.88,23.97,33.37,2.26
2015,4,18,0.0,43.29,25.5,29.86,3.38
2015,4,19,0.0,43.78,23.39,30.61,2.34
2015,4,20,0.0,43.29,24.76,24.53,3.22
2015,4,21,0.0,43.48,25.44,20.09,3.48
2015,4,22,0.0,42.23,24.07,18.21,3.3
2015,4,23,0.0,41.98,22.46,23.72,2.82
2015,4,24,0.0,42.3,24.15,30.32,2.84
2015,4,25,0.0,43.63,23.35,34.56,2.39
2015,4,26,0.0,44.27,24.42,33.88,3.16
2015,4,27,0.0,45.08,24.56,32.89,3.2
2015,4,28,0.0,43.35,23.85,36.53,3.9
2015,4,29,0.0,44.24,24.41,34.94,2.99
2015,4,30,0.0,44.11,24.65,36.48,3.74
2015,5,1,0.0,43.67,25.26,33.42,2.56
2015,5,2,0.0,44.66,25.78,14.75,1.98
2015,5,3,0.0,43.87,24.26,18.09,2.18
2015,5,4,0.0,44.25,24.86,18.6,2.97
2015,5,5,0.0,44.51,24.76,16.09,2.62
2015,5,6,0.0,44.09,24.65,26.37,2.94
2015,5,7,0.0,42.79,25.73,32.11,3.04
2015,5,8,0.0,42.78,27.35,29.38,4.05
2015,5,9,0.0,44.08,26.41,27.04,3.46
2015,5,10,0.03,42.09,25.48,35.27,3.17
2015,5,11,0.03,43.05,25.38,36.87,3.22
2015,5,12,0.5,40.71,27.55,39.2,2.16
2015,5,13,3.08,42.68,28.24,31.21,2.05
2015,5,14,2.21,42.1,27.25,30.76,1.73
2015,5,15,0.0,43.46,28.0,28.11,2.21
2015,5,16,0.0,45.16,27.2,21.25,3.29
2015,5,17,0.0,45.51,26.99,21.62,3.94
2015,5,18,0.0,45.55,25.62,29.18,4.19
2015,5,19,0.0,45.04,25.88,39.22,4.21
2015,5,20,0.0,44.18,27.45,39.46,3.27
2015,5,21,0.0,43.91,27.47,39.01,3.39
2015,5,22,0.0,44.33,26.85,38.58,4.51
2015,5,23,0.0,44.17,27.18,43.63,4.85
2015,5,24,0.0,42.87,27.8,48.62,5.48
2015,5,25,0.0,42.96,27.75,46.68,5.28
2015,5,26,0.0,42.9,27.49,47.21,5.09
2015,5,27,0.0,42.91,27.59,46.19,4.63
2015,5,28,0.0,43.21,27.21,45.1,4.34
2015,5,29,0.0,43.45,27.1,39.66,3.2
2015,5,30,0.0,43.96,27.88,31.47,3.83
2015,5,31,0.0,45.24,27.19,34.47,2.84
2015,6,1,0.0,44.66,26.89,39.18,3.86
2015,6,2,1.15,41.68,27.53,43.83,4.28
2015,6,3,6.76,37.6,28.24,49.63,2.76
2015,6,4,0.69,40.49,27.73,39.24,1.93
2015,6,5,0.0,41.86,28.16,31.64,2.2
2015,6,6,0.0,43.48,27.74,29.74,2.13
2015,6,7,0.0,43.79,28.45,31.92,2.77
2015,6,8,0.01,40.71,30.34,35.89,3.02
2015,6,9,0.43,37.97,29.73,48.44,3.66
2015,6,10,0.48,38.66,28.77,49.56,4.06
2015,6,11,1.82,38.05,28.67,52.65,3.55
2015,6,12,6.3,38.65,29.0,53.23,3.76
2015,6,13,1.34,39.16,27.85,54.66,4.43
2015,6,14,0.79,38.74,27.65,57.59,4.79
2015,6,15,0.33,39.29,27.83,56.23,4.74
2015,6,16,0.8,38.86,27.39,56.38,3.6
2015,6,17,1.14,38.37,28.33,55.07,2.77
2015,6,18,0.28,37.55,28.64,55.87,3.06
2015,6,19,0.07,38.28,28.54,57.87,2.79
2015,6,20,0.08,37.18,28.4,59.13,3.16
2015,6,21,0.5,36.86,29.07,62.38,2.94
2015,6,22,1.27,36.89,28.45,64.49,3.67
2015,6,23,2.97,35.06,27.52,71.21,4.88
2015,6,24,94.22,29.52,26.84,83.08,6.37
2015,6,25,7.87,34.38,26.86,78.52,4.87
2015,6,26,0.19,36.01,25.68,72.07,3.64
2015,6,27,0.0,36.31,25.82,69.33,4.11
2015,6,28,0.0,36.54,25.7,68.25,3.43
2015,6,29,0.0,36.97,25.93,66.26,3.33
2015,6,30,0.0,37.43,26.14,63.76,3.55
2015,7,1,0.0,35.84,25.93,66.06,4.4
2015,7,2,0.0,36.59,25.23,64.74,4.31
2015,7,3,0.0,37.63,25.5,63.33,5.0
2015,7,4,0.0,37.69,25.83,63.9,5.97
2015,7,5,0.0,37.93,26.32,63.44,6.38
2015,7,6,0.0,38.02,26.2,62.7,6.23
2015,7,7,0.0,37.02,26.81,63.07,5.31
2015,7,8,1.26,37.34,26.27,62.59,4.62
2015,7,9,0.64,37.18,26.06,62.54,5.27
2015,7,10,0.0,37.54,26.14,62.11,5.24
2015,7,11,0.0,37.71,26.47,61.82,3.49
2015,7,12,0.91,37.16,26.74,60.6,3.78
2015,7,13,0.88,37.31,27.11,59.89,3.18
2015,7,14,0.0,37.89,27.37,56.99,3.95
2015,7,15,0.0,38.01,26.37,57.91,4.8
2015,7,16,0.0,37.06,26.45,60.54,4.6
2015,7,17,0.0,35.55,26.84,59.73,3.83
2015,7,18,1.02,37.7,27.31,59.03,3.72
2015,7,19,5.94,36.88,26.74,62.88,3.65
2015,7,20,2.52,35.06,26.66,64.94,2.78
2015,7,21,9.69,32.02,26.88,75.22,1.77
