-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: latitude  22.82   longitude 70.83 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 28.7 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.07,26.12,12.09,47.56,4.29
2015,1,2,0.0,26.37,14.18,59.82,2.98
2015,1,3,0.0,28.07,13.25,53.88,2.01
2015,1,4,0.0,28.8,13.44,45.89,2.31
2015,1,5,0.0,29.27,12.52,38.72,2.28
2015,1,6,0.0,30.54,14.31,33.82,1.7
2015,1,7,0.0,29.56,13.9,62.72,1.61
2015,1,8,0.0,30.49,14.21,37.0,1.74
2015,1,9,0.0,30.54,13.94,27.85,1.65
2015,1,10,0.0,30.54,13.02,29.49,1.78
2015,1,11,0.0,30.76,12.59,32.24,1.83
2015,1,12,0.0,30.79,12.92,36.55,1.74
2015,1,13,0.0,30.79,14.16,64.7,2.41
2015,1,14,0.0,29.77,16.89,55.8,2.26
2015,1,15,0.0,27.41,13.04,27.26,3.99
2015,1,16,0.0,27.15,10.18,33.07,3.55
2015,1,17,0.0,27.92,8.85,29.31,2.82
2015,1,18,0.0,28.43,9.69,23.36,2.28
2015,1,19,0.0,29.23,9.68,19.91,1.74
2015,1,20,0.01,29.24,12.25,34.07,2.01
2015,1,21,3.61,25.73,17.51,71.09,1.42
2015,1,22,0.01,26.52,14.18,60.58,2.39
2015,1,23,0.0,26.11,12.64,50.79,2.7
2015,1,24,0.0,25.76,11.24,39.17,3.22
2015,1,25,0.0,26.45,11.25,33.46,2.94
2015,1,26,0.0,25.12,9.88,30.96,3.09
2015,1,27,0.0,24.85,8.66,30.92,3.09
2015,1,28,0.0,25.27,8.79,28.9,3.65
2015,1,29,0.0,27.0,7.97,24.83,2.93
2015,1,30,0.0,29.26,9.46,24.55,2.88
2015,1,31,0.0,31.36,10.41,22.69,1.71
2015,2,1,0.0,29.28,11.3,54.36,2.23
2015,2,2,0.0,30.82,16.17,64.92,2.09
2015,2,3,0.0,31.17,14.74,36.8,2.65
2015,2,4,0.0,31.11,13.89,27.59,3.25
2015,2,5,0.0,30.81,12.63,22.54,2.87
2015,2,6,0.0,30.86,13.25,21.02,2.18
2015,2,7,0.0,30.86,14.92,28.36,1.79
2015,2,8,0.0,29.42,13.03,36.27,2.75
2015,2,9,0.0,29.92,12.65,34.52,3.1
2015,2,10,0.0,31.14,13.62,37.09,3.47
2015,2,11,0.0,30.88,14.76,28.57,3.15
2015,2,12,0.0,32.37,13.04,22.43,2.13
2015,2,13,0.0,33.69,15.3,34.79,1.65
2015,2,14,0.0,34.12,15.83,59.55,2.44
