-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: latitude  21.87   longitude 73.49 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 194.63 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,4.19,26.87,14.79,68.03,3.62
2015,1,2,0.25,26.37,12.58,68.67,1.36
2015,1,3,0.01,28.12,14.03,61.29,1.45
2015,1,4,0.0,29.03,13.8,46.91,2.09
2015,1,5,0.0,28.7,11.62,42.75,2.57
2015,1,6,0.0,30.22,11.23,31.33,1.66
2015,1,7,0.0,29.97,12.48,28.28,1.47
2015,1,8,0.0,29.95,12.12,33.83,1.59
2015,1,9,0.0,29.58,11.36,32.43,2.45
2015,1,10,0.0,30.45,11.2,27.26,1.94
2015,1,11,0.0,31.8,11.38,27.2,1.76
2015,1,12,0.0,32.43,12.09,29.44,1.65
2015,1,13,0.0,31.26,11.88,28.65,1.37
2015,1,14,0.0,31.46,12.29,32.06,1.65
2015,1,15,0.0,29.34,12.65,43.2,1.98
2015,1,16,0.0,29.6,12.12,38.75,2.0
2015,1,17,0.0,29.46,11.73,35.07,2.1
2015,1,18,0.0,29.81,12.61,35.26,1.8
2015,1,19,0.0,30.39,12.79,36.76,2.69
2015,1,20,0.0,29.4,14.11,45.41,2.8
2015,1,21,2.15,30.5,14.57,61.02,1.66
2015,1,22,0.62,27.96,15.49,68.78,1.52
2015,1,23,0.0,27.67,14.44,57.81,1.85
2015,1,24,0.28,29.28,15.34,52.87,2.02
2015,1,25,3.33,27.77,16.91,65.39,1.89
2015,1,26,0.0,27.94,14.32,59.79,1.55
2015,1,27,0.0,28.18,11.34,43.17,1.65
2015,1,28,0.0,28.23,12.8,61.79,1.94
2015,1,29,0.0,29.47,12.81,48.27,2.31
2015,1,30,0.0,30.21,11.06,31.46,2.97
2015,1,31,0.0,32.03,11.27,27.81,2.24
2015,2,1,0.0,32.92,13.42,29.18,2.75
2015,2,2,0.0,32.72,12.65,45.11,2.08
2015,2,3,0.0,32.88,15.11,36.12,1.36
2015,2,4,0.0,32.47,15.99,41.48,2.29
2015,2,5,0.0,32.26,16.13,42.76,2.04
2015,2,6,0.0,33.75,16.46,38.9,2.2
2015,2,7,0.0,33.05,15.18,27.57,1.73
2015,2,8,0.0,31.41,15.3,25.63,1.55
2015,2,9,0.0,31.91,13.61,34.4,1.63
2015,2,10,0.35,31.84,17.88,40.72,3.55
2015,2,11,0.02,33.33,17.93,43.62,2.06
2015,2,12,0.0,33.56,16.06,32.68,1.63
2015,2,13,0.0,34.59,14.86,21.43,1.49
2015,2,14,0.0,35.23,16.71,19.36,1.52
2015,2,15,0.0,35.7,16.96,30.3,1.24
2015,2,16,0.0,35.94,16.03,40.58,1.86
2015,2,17,0.0,34.28,17.32,34.71,1.93
2015,2,18,0.0,34.6,15.78,40.83,1.51
2015,2,19,0.0,35.5,16.82,47.53,1.64
2015,2,20,0.0,35.3,18.39,33.33,1.03
2015,2,21,0.0,36.95,17.74,19.8,1.65
2015,2,22,0.0,38.17,18.97,19.73,1.52
2015,2,23,0.0,37.9,19.67,20.59,1.68
2015,2,24,0.0,36.94,20.12,29.43,1.59
2015,2,25,0.0,32.87,18.46,42.42,2.29
2015,2,26,0.0,31.78,15.8,28.39,2.18
2015,2,27,0.0,32.76,14.83,30.94,1.18
2015,2,28,0.02,34.23,14.76,35.51,2.79
2015,3,1,9.4,29.38,17.39,65.83,4.1
2015,3,2,0.31,28.4,15.66,60.07,2.7
2015,3,3,0.0,27.81,13.2,53.24,1.62
2015,3,4,0.0,30.13,13.74,47.15,1.22
2015,3,5,0.0,33.25,14.05,32.96,1.4
2015,3,6,0.0,34.25,16.1,32.56,1.69
2015,3,7,0.0,34.93,18.64,32.03,1.82
2015,3,8,0.0,34.48,19.16,39.37,1.85
2015,3,9,0.0,34.27,16.64,24.16,3.05
2015,3,10,0.0,36.8,17.07,23.55,2.75
2015,3,11,0.16,38.08,21.66,29.71,2.18
2015,3,12,1.38,35.67,21.58,39.4,2.06
2015,3,13,3.1,35.04,23.24,42.79,1.21
2015,3,14,5.83,32.68,20.99,55.2,2.66
2015,3,15,0.66,32.34,19.41,60.27,2.68
2015,3,16,0.05,31.47,16.78,53.53,1.95
2015,3,17,0.0,33.57,16.85,39.03,1.55
2015,3,18,0.0,34.99,15.81,37.39,2.04
2015,3,19,0.0,36.65,16.94,30.92,2.14
2015,3,20,0.0,38.58,19.05,27.08,1.6
2015,3,21,0.0,39.65,20.35,26.83,1.14
2015,3,22,0.0,41.07,24.36,23.78,1.19
2015,3,23,0.0,41.63,23.0,24.94,1.49
2015,3,24,0.0,41.91,21.64,32.12,1.2
2015,3,25,0.0,42.59,24.26,21.51,1.23
2015,3,26,0.0,42.28,25.72,22.28,1.07
2015,3,27,0.0,42.23,24.73,28.97,1.37
2015,3,28,0.01,41.5,23.91,38.44,2.61
2015,3,29,1.17,36.49,25.73,33.43,2.61
2015,3,30,0.0,38.36,24.01,32.57,2.73
2015,3,31,0.0,37.83,20.41,29.76,2.47
2015,4,1,0.0,38.98,19.26,41.28,2.73
2015,4,2,0.0,38.76,20.77,48.85,3.77
2015,4,3,0.0,38.15,20.94,52.1,3.71
2015,4,4,0.0,35.29,20.72,59.62,4.43
2015,4,5,0.0,36.1,22.45,53.77,3.32
2015,4,6,0.0,37.7,20.63,49.01,2.49
2015,4,7,0.04,38.5,19.96,48.01,1.92
2015,4,8,0.03,39.61,21.85,45.89,1.68
2015,4,9,0.15,41.06,23.05,44.99,2.03
2015,4,10,0.0,40.29,23.69,50.57,3.42
2015,4,11,0.06,38.89,23.12,51.43,4.02
2015,4,12,3.74,34.03,21.8,52.14,2.12
2015,4,13,6.77,33.54,22.45,54.55,1.27
2015,4,14,1.58,33.72,21.38,55.41,1.31
2015,4,15,2.02,35.55,21.52,52.6,1.41
2015,4,16,0.0,38.72,23.08,45.59,1.33
2015,4,17,0.0,41.42,24.42,35.25,1.73
2015,4,18,0.0,42.65,24.07,39.67,3.34
2015,4,19,0.0,43.37,23.42,39.15,2.87
2015,4,20,0.0,43.44,23.99,33.32,2.25
2015,4,21,0.0,42.36,25.02,25.87,2.35
2015,4,22,0.0,41.69,24.13,30.57,3.59
2015,4,23,0.0,40.96,23.51,41.33,3.78
2015,4,24,0.0,41.15,22.78,41.32,3.32
2015,4,25,0.0,41.92,23.35,45.94,3.79
2015,4,26,0.0,42.72,23.69,47.69,3.68
2015,4,27,0.0,43.87,24.28,45.8,3.53
2015,4,28,0.0,43.26,24.55,43.94,4.32
2015,4,29,0.0,42.84,24.05,42.2,3.44
2015,4,30,0.0,42.64,24.45,46.47,4.06
2015,5,1,0.0,42.31,24.17,43.66,3.36
2015,5,2,0.0,43.48,24.69,41.05,3.28
2015,5,3,0.0,43.6,23.59,39.19,2.39
2015,5,4,0.0,44.05,24.16,35.14,2.54
2015,5,5,0.0,43.71,24.81,36.54,2.63
2015,5,6,0.0,42.82,24.82,32.63,3.09
2015,5,7,0.06,43.6,24.56,34.39,2.63
2015,5,8,0.0,43.62,26.44,29.75,3.05
2015,5,9,0.0,43.47,26.62,30.47,2.75
2015,5,10,0.17,42.54,25.88,35.1,2.95
2015,5,11,0.03,43.19,26.05,36.07,3.11
2015,5,12,0.05,41.75,27.35,42.48,3.39
2015,5,13,0.9,41.73,26.52,48.34,3.57
2015,5,14,1.27,41.91,27.0,44.7,3.2
2015,5,15,0.0,43.71,26.71,36.27,2.48
