-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: latitude  23.84   longitude 72.11 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 69.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.24,27.02,14.01,52.65,3.42
2015,1,2,0.03,26.28,12.95,58.05,2.23
2015,1,3,0.0,27.72,12.71,56.98,1.41
2015,1,4,0.0,28.69,13.08,42.36,1.75
2015,1,5,0.0,29.04,11.63,35.39,1.68
2015,1,6,0.0,29.82,11.85,26.7,1.66
2015,1,7,0.0,29.56,12.96,35.25,1.07
2015,1,8,0.0,29.97,12.51,23.69,1.56
2015,1,9,0.0,29.88,11.56,26.44,1.73
2015,1,10,0.0,30.12,12.24,25.68,1.61
2015,1,11,0.0,30.86,12.68,28.72,1.58
2015,1,12,0.0,31.35,13.18,24.12,1.31
2015,1,13,0.0,30.23,14.43,36.23,1.51
2015,1,14,0.0,29.07,14.77,36.95,2.29
2015,1,15,0.0,26.76,11.31,25.74,3.25
2015,1,16,0.0,27.83,9.57,25.3,2.82
2015,1,17,0.0,27.82,8.61,22.7,2.01
2015,1,18,0.0,28.0,8.74,18.87,1.66
2015,1,19,0.0,28.88,9.41,19.24,1.67
2015,1,20,0.0,28.79,12.88,30.06,1.86
2015,1,21,4.54,24.39,15.35,60.11,1.22
2015,1,22,0.18,26.19,14.99,59.79,1.52
2015,1,23,0.0,25.41,11.9,45.02,2.0
2015,1,24,0.0,25.97,10.3,41.28,2.26
2015,1,25,0.0,27.01,11.12,38.33,2.2
2015,1,26,0.0,25.18,9.19,29.82,2.55
2015,1,27,0.0,25.07,8.7,41.18,3.03
2015,1,28,0.0,25.75,8.61,29.57,3.28
2015,1,29,0.0,28.15,7.7,22.84,2.3
2015,1,30,0.0,29.43,9.44,19.82,2.32
2015,1,31,0.0,30.61,10.03,20.52,1.91
2015,2,1,0.0,29.8,11.54,23.86,1.92
2015,2,2,0.0,30.63,14.32,44.79,1.71
2015,2,3,0.0,30.8,14.75,27.36,2.72
2015,2,4,0.0,31.08,13.27,24.36,2.69
2015,2,5,0.0,30.73,12.02,18.25,2.1
2015,2,6,0.0,30.51,12.8,18.26,1.99
2015,2,7,0.0,31.06,13.45,22.61,1.84
2015,2,8,0.0,30.31,13.38,25.15,2.2
2015,2,9,0.0,30.94,12.27,34.29,2.18
2015,2,10,0.0,31.78,14.05,34.65,2.59
2015,2,11,0.0,31.52,14.44,26.05,2.99
2015,2,12,0.0,33.16,12.83,17.92,2.15
