-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: latitude  22.78   longitude 73.52 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 164.67 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,4.78,23.08,13.65,70.35,4.61
2015,1,2,0.12,25.61,11.41,69.77,1.81
2015,1,3,0.02,27.44,12.31,59.74,1.58
2015,1,4,0.0,27.74,11.74,46.97,2.31
2015,1,5,0.0,27.54,9.77,42.13,2.32
2015,1,6,0.0,29.44,9.68,31.85,1.28
2015,1,7,0.0,29.03,10.87,34.31,1.45
2015,1,8,0.0,28.96,10.77,32.88,1.87
2015,1,9,0.0,28.88,10.1,32.17,1.98
2015,1,10,0.0,29.68,10.13,29.17,0.99
2015,1,11,0.0,31.15,10.69,27.67,1.38
2015,1,12,0.0,31.96,11.27,30.43,1.11
2015,1,13,0.0,30.24,10.96,28.96,1.32
2015,1,14,0.0,29.38,12.96,34.14,1.99
2015,1,15,0.0,27.96,11.09,34.24,3.1
2015,1,16,0.0,28.27,10.29,35.86,2.42
2015,1,17,0.0,28.5,9.25,29.24,2.29
2015,1,18,0.0,28.9,10.1,28.45,1.94
2015,1,19,0.0,29.78,10.67,32.29,2.26
2015,1,20,0.0,29.28,12.61,38.4,2.71
2015,1,21,5.37,28.53,13.97,69.27,1.82
2015,1,22,0.03,26.43,14.92,70.67,1.52
2015,1,23,0.0,26.02,14.59,59.67,1.52
2015,1,24,0.03,27.47,12.78,58.06,2.02
2015,1,25,3.65,24.66,14.48,74.44,1.75
2015,1,26,0.0,26.21,12.57,63.59,1.35
2015,1,27,0.0,26.07,10.11,54.55,1.68
2015,1,28,0.0,26.63,10.82,60.03,2.29
2015,1,29,0.0,27.9,10.01,44.5,2.65
2015,1,30,0.0,28.66,8.47,33.61,2.86
2015,1,31,0.0,31.02,9.55,27.35,1.65
2015,2,1,0.0,31.72,11.45,30.1,2.39
2015,2,2,0.0,31.27,12.17,37.43,1.81
2015,2,3,0.0,31.44,14.47,39.34,1.33
2015,2,4,0.0,31.02,13.16,39.49,2.81
2015,2,5,0.0,30.93,13.77,40.26,1.92
2015,2,6,0.0,32.3,15.77,37.98,1.95
2015,2,7,0.0,32.02,14.12,23.91,1.95
2015,2,8,0.0,31.24,13.29,25.17,1.77
2015,2,9,0.0,31.16,13.51,43.41,2.03
2015,2,10,0.19,31.68,14.43,44.72,3.16
2015,2,11,0.07,32.1,16.83,42.53,1.84
2015,2,12,0.0,32.74,13.95,33.6,1.9
2015,2,13,0.0,33.86,13.26,22.18,1.68
2015,2,14,0.0,34.22,15.5,21.29,1.6
2015,2,15,0.0,35.29,16.25,24.38,1.13
2015,2,16,0.0,35.2,15.82,31.12,1.95
2015,2,17,0.0,33.88,16.46,29.1,1.94
2015,2,18,0.0,34.52,15.85,26.29,1.39
2015,2,19,0.0,34.89,16.47,40.34,1.94
2015,2,20,0.0,34.92,17.55,28.49,1.18
2015,2,21,0.0,36.34,17.11,21.06,1.41
2015,2,22,0.0,37.78,18.13,21.67,1.33
2015,2,23,0.0,37.74,18.61,20.94,1.58
2015,2,24,0.0,36.33,20.27,25.67,1.85
2015,2,25,0.0,32.42,18.11,34.32,2.76
2015,2,26,0.0,31.51,14.97,14.92,2.15
2015,2,27,0.0,31.64,12.06,14.79,1.33
2015,2,28,0.0,33.68,15.13,22.44,2.65
2015,3,1,11.3,27.72,16.8,69.26,4.43
2015,3,2,0.5,28.32,15.24,60.27,2.77
2015,3,3,0.0,27.17,13.62,49.1,1.25
2015,3,4,0.0,29.16,14.18,45.09,1.09
2015,3,5,0.0,31.91,14.09,38.59,1.46
2015,3,6,0.0,33.01,15.29,38.23,1.59
2015,3,7,0.0,34.07,16.53,37.96,1.92
2015,3,8,0.0,33.58,18.69,38.52,1.82
2015,3,9,0.0,32.87,15.3,18.53,3.94
2015,3,10,0.0,35.52,14.23,22.61,3.03
2015,3,11,0.0,37.44,18.16,28.17,2.31
2015,3,12,1.06,37.15,20.68,33.65,1.99
2015,3,13,3.94,34.96,21.93,40.92,1.69
2015,3,14,5.37,31.89,20.69,60.63,2.48
2015,3,15,0.95,31.44,19.53,62.51,2.35
2015,3,16,0.0,31.25,15.87,46.7,1.58
2015,3,17,0.0,32.62,14.1,41.64,1.72
2015,3,18,0.0,33.94,14.5,40.65,2.46
2015,3,19,0.0,35.74,15.46,31.33,2.09
2015,3,20,0.0,38.11,17.65,26.71,1.41
2015,3,21,0.0,39.06,20.46,23.83,0.94
2015,3,22,0.0,40.54,21.9,26.02,1.43
2015,3,23,0.0,41.04,21.9,29.09,1.92
2015,3,24,0.0,41.83,23.39,24.01,1.23
2015,3,25,0.0,42.45,22.51,23.06,1.13
2015,3,26,0.0,40.54,25.19,23.13,1.47
2015,3,27,0.0,42.18,25.01,23.97,1.55
2015,3,28,0.01,42.19,24.72,27.39,2.4
2015,3,29,0.16,36.05,26.11,26.68,3.01
2015,3,30,0.0,38.08,23.68,24.17,2.88
2015,3,31,0.0,37.99,19.4,23.06,2.24
2015,4,1,0.0,39.12,19.42,29.47,2.8
2015,4,2,0.0,39.03,20.9,38.92,3.56
2015,4,3,0.0,38.51,21.22,42.45,3.81
2015,4,4,0.01,35.59,21.15,48.31,3.95
2015,4,5,0.0,36.26,21.58,43.94,2.56
2015,4,6,0.05,37.57,21.08,42.48,2.01
2015,4,7,0.5,38.32,20.13,40.66,1.18
2015,4,8,0.06,40.05,23.29,32.73,1.15
2015,4,9,0.15,41.13,22.6,29.65,1.81
2015,4,10,0.0,41.04,23.25,34.58,2.61
2015,4,11,0.09,39.38,23.81,40.97,4.13
2015,4,12,16.45,32.89,22.44,57.07,2.73
2015,4,13,0.69,32.55,21.95,57.54,1.36
2015,4,14,0.34,33.64,20.61,56.28,1.32
2015,4,15,0.38,35.25,21.31,51.92,1.44
2015,4,16,0.0,38.69,23.35,44.72,1.39
2015,4,17,0.0,41.11,22.85,36.19,2.07
2015,4,18,0.0,42.67,24.03,31.54,3.3
2015,4,19,0.0,43.53,23.33,32.7,2.77
2015,4,20,0.0,43.58,24.07,25.04,2.82
2015,4,21,0.0,42.92,24.19,21.04,2.83
2015,4,22,0.0,42.26,24.47,18.31,3.35
2015,4,23,0.0,41.28,21.91,25.18,3.12
2015,4,24,0.0,41.69,23.56,28.93,3.06
2015,4,25,0.0,42.87,23.46,36.29,3.27
2015,4,26,0.0,43.5,24.13,38.01,3.71
2015,4,27,0.0,44.52,24.77,35.3,3.5
2015,4,28,0.0,43.57,24.77,30.79,4.11
2015,4,29,0.0,43.46,25.3,28.55,2.92
2015,4,30,0.0,43.3,25.04,33.5,3.72
2015,5,1,0.0,42.78,24.89,30.21,2.81
2015,5,2,0.0,43.73,24.67,32.55,2.47
2015,5,3,0.0,43.6,25.05,19.48,1.59
2015,5,4,0.0,44.22,23.99,21.34,2.64
2015,5,5,0.0,44.21,24.46,18.8,2.63
2015,5,6,0.0,43.76,23.87,20.57,2.48
2015,5,7,0.0,44.1,24.7,22.39,2.63
2015,5,8,0.0,43.49,27.17,23.42,3.26
2015,5,9,0.0,43.65,26.93,20.95,2.54
2015,5,10,0.0,41.94,25.93,24.62,2.73
2015,5,11,0.0,43.56,26.71,27.96,3.13
2015,5,12,0.04,42.02,28.24,34.02,2.94
2015,5,13,3.64,42.35,27.76,37.97,2.73
2015,5,14,0.66,42.02,27.55,37.87,2.39
2015,5,15,0.0,43.9,28.21,27.23,1.98
2015,5,16,0.0,45.36,28.33,19.28,2.92
2015,5,17,0.0,45.52,27.47,17.91,3.35
2015,5,18,0.0,45.42,26.63,22.52,3.67
2015,5,19,0.0,45.45,26.93,32.49,3.92
2015,5,20,0.0,44.38,27.63,35.37,3.55
2015,5,21,0.0,43.31,27.46,37.23,3.69
2015,5,22,0.0,43.76,27.9,35.89,4.4
2015,5,23,0.0,43.08,27.03,38.68,4.69
2015,5,24,0.0,42.34,27.46,44.48,5.72
2015,5,25,0.0,42.48,28.14,43.05,5.28
2015,5,26,0.0,42.32,27.04,42.56,4.81
2015,5,27,0.0,42.52,27.45,40.84,4.31
2015,5,28,0.0,43.1,27.54,40.28,4.0
2015,5,29,0.0,43.97,27.67,33.9,3.34
2015,5,30,0.0,44.65,28.56,24.41,3.3
2015,5,31,0.0,45.05,27.7,28.09,3.03
2015,6,1,0.0,43.74,28.17,39.21,4.83
2015,6,2,1.1,41.4,27.03,48.41,5.17
2015,6,3,4.55,39.46,27.46,47.79,3.48
2015,6,4,1.02,40.78,28.3,43.84,1.31
2015,6,5,0.0,42.7,28.63,33.65,1.25
2015,6,6,0.0,43.64,28.35,33.29,1.69
2015,6,7,0.0,43.84,29.16,38.07,4.16
2015,6,8,0.37,39.07,29.14,46.18,3.57
2015,6,9,0.38,36.46,28.56,54.02,3.78
2015,6,10,0.71,39.03,27.88,53.21,4.4
2015,6,11,2.45,35.58,27.68,61.02,3.55
2015,6,12,10.4,34.63,27.1,69.68,3.88
2015,6,13,5.71,37.04,26.46,67.86,4.37
2015,6,14,2.67,36.7,26.49,68.15,4.79
2015,6,15,3.63,37.26,26.59,65.71,4.66
2015,6,16,5.19,36.86,26.25,65.44,3.69
2015,6,17,1.38,36.81,25.67,65.7,2.5
2015,6,18,2.39,35.83,26.36,66.54,2.38
2015,6,19,1.21,33.4,26.47,72.65,2.62
2015,6,20,0.05,34.36,26.27,71.05,2.05
2015,6,21,4.99,35.25,27.21,72.07,2.33
2015,6,22,14.34,32.71,26.51,78.37,2.92
2015,6,23,6.37,33.09,25.72,78.73,4.03
2015,6,24,90.11,29.48,25.78,85.04,8.06
2015,6,25,17.39,31.27,25.95,84.6,6.01
2015,6,26,0.07,34.35,25.01,76.89,4.67
2015,6,27,0.01,34.63,25.32,75.26,4.8
2015,6,28,0.0,35.06,24.86,73.86,4.03
2015,6,29,0.02,35.13,25.22,73.72,3.64
2015,6,30,0.03,35.1,25.36,73.27,4.07
2015,7,1,0.0,34.59,25.48,73.3,4.82
2015,7,2,0.0,34.99,24.79,71.21,4.83
2015,7,3,0.0,35.94,24.71,70.36,5.26
2015,7,4,0.0,36.02,24.88,68.75,5.83
2015,7,5,0.0,35.98,25.49,70.21,6.38
2015,7,6,0.0,35.97,25.15,70.62,6.62
2015,7,7,0.0,35.56,25.51,71.13,5.66
2015,7,8,0.93,36.12,24.86,69.08,4.99
2015,7,9,0.53,36.06,24.97,68.17,5.49
2015,7,10,0.16,36.15,25.27,68.38,5.27
2015,7,11,0.09,36.69,25.33,68.07,4.59
2015,7,12,0.09,34.36,25.74,69.14,4.36
2015,7,13,0.07,35.66,25.6,67.97,3.91
2015,7,14,0.0,36.75,26.19,65.31,4.38
2015,7,15,0.02,36.64,25.77,64.72,5.1
2015,7,16,0.04,34.65,25.76,66.76,4.95
2015,7,17,0.02,34.5,26.17,67.44,4.31
2015,7,18,7.45,35.79,26.18,67.75,4.11
2015,7,19,18.49,34.2,25.9,73.68,3.49
2015,7,20,15.65,32.27,25.46,77.41,2.77
2015,7,21,16.16,30.45,25.46,85.42,1.91
2015,7,22,10.07,31.72,25.05,82.86,1.3
2015,7,23,3.79,31.99,25.94,81.8,2.51
2015,7,24,4.5,31.33,25.49,85.4,3.28
2015,7,25,26.2,29.62,25.39,89.21,4.5
2015,7,26,54.63,28.87,24.39,90.63,5.64
2015,7,27,57.01,27.85,24.7,92.17,6.58
2015,7,28,89.59,27.51,24.21,91.69,7.62
2015,7,29,17.04,29.3,24.02,88.9,7.18
2015,7,30,2.35,31.02,23.65,84.61,5.74
2015,7,31,0.06,31.47,23.74,83.76,5.09
2015,8,1,0.05,31.54,23.75,83.36,4.55
2015,8,2,0.06,31.29,24.02,83.57,3.82
2015,8,3,0.58,32.42,23.68,81.6,3.38
2015,8,4,8.67,31.77,24.08,82.86,3.48
2015,8,5,15.28,29.63,23.79,87.8,3.75
2015,8,6,0.35,31.79,23.9,83.08,3.27
