-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: latitude  21.64   longitude 69.61 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 5.75 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.0,25.13,18.95,59.85,6.7
2015,1,2,0.0,25.19,19.22,67.26,5.78
2015,1,3,0.0,25.9,20.45,62.47,4.42
2015,1,4,0.0,26.79,20.55,59.49,4.66
2015,1,5,0.0,26.99,19.43,58.01,4.33
2015,1,6,0.0,26.49,19.57,56.14,3.88
2015,1,7,0.0,24.31,21.03,72.93,3.81
2015,1,8,0.0,26.42,21.1,69.12,3.0
2015,1,9,0.0,27.23,21.05,53.78,2.83
2015,1,10,0.0,27.92,21.38,50.35,3.41
2015,1,11,0.0,27.32,19.72,56.14,4.06
2015,1,12,0.0,26.75,21.07,66.75,5.06
2015,1,13,0.0,24.83,21.0,76.12,4.24
2015,1,14,0.0,24.96,22.1,75.25,3.11
2015,1,15,0.0,26.64,19.74,52.03,6.09
2015,1,16,0.0,26.38,18.77,49.25,6.36
2015,1,17,0.0,26.5,18.43,47.96,4.75
2015,1,18,0.0,26.56,18.49,45.03,4.16
2015,1,19,0.0,26.69,19.46,40.85,3.55
2015,1,20,0.55,24.81,21.8,61.25,3.49
2015,1,21,3.95,23.34,21.83,74.84,3.46
2015,1,22,0.16,23.27,21.04,64.27,4.2
2015,1,23,0.0,24.04,19.93,59.41,3.91
