-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: latitude  23.35   longitude 73.02 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 157.48 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.96,25.48,14.22,66.99,4.37
2015,1,2,0.05,25.78,11.76,65.54,2.35
2015,1,3,0.0,27.11,12.13,58.85,1.54
2015,1,4,0.0,27.34,11.62,48.0,2.09
2015,1,5,0.0,27.73,10.06,38.96,2.2
2015,1,6,0.0,29.38,9.65,28.92,1.52
2015,1,7,0.0,28.84,10.96,33.95,1.44
2015,1,8,0.0,28.56,11.04,28.03,2.07
2015,1,9,0.0,28.79,9.79,31.24,1.6
2015,1,10,0.0,29.49,9.94,28.26,1.27
2015,1,11,0.0,30.71,11.47,28.49,1.45
2015,1,12,0.0,31.4,11.12,29.51,1.33
2015,1,13,0.0,29.63,11.39,28.23,1.5
2015,1,14,0.0,29.19,14.17,37.48,1.96
2015,1,15,0.0,26.85,11.23,30.9,2.78
2015,1,16,0.0,27.37,10.49,29.59,2.55
2015,1,17,0.0,27.32,9.05,26.26,2.37
2015,1,18,0.0,27.6,9.09,25.59,2.0
2015,1,19,0.0,28.54,9.62,30.68,2.29
2015,1,20,0.0,28.25,12.35,38.03,2.61
2015,1,21,5.93,25.08,13.02,67.25,1.63
2015,1,22,0.05,25.54,15.92,67.53,1.56
2015,1,23,0.0,25.91,13.88,51.36,1.47
2015,1,24,0.0,26.5,10.95,51.73,2.02
2015,1,25,0.45,24.23,14.4,65.43,1.53
2015,1,26,0.0,26.36,11.23,54.27,1.44
2015,1,27,0.0,25.17,9.16,49.49,1.8
2015,1,28,0.0,26.05,9.61,42.88,2.32
2015,1,29,0.0,27.68,8.73,35.26,2.53
2015,1,30,0.0,28.29,8.96,30.72,2.82
2015,1,31,0.0,30.3,9.44,26.4,2.05
2015,2,1,0.0,30.33,10.81,27.75,2.13
2015,2,2,0.0,30.56,12.86,33.75,1.75
2015,2,3,0.0,31.21,15.78,36.06,1.71
2015,2,4,0.0,30.36,13.18,30.52,2.9
2015,2,5,0.0,30.23,12.59,28.16,2.02
2015,2,6,0.0,31.28,14.09,26.06,2.12
2015,2,7,0.0,31.35,13.46,22.29,1.98
2015,2,8,0.0,30.89,13.65,24.42,1.93
2015,2,9,0.0,30.38,13.63,44.02,2.75
2015,2,10,0.01,31.14,14.48,40.4,3.27
2015,2,11,0.02,31.74,15.82,35.63,2.2
2015,2,12,0.0,32.79,13.63,23.45,2.2
2015,2,13,0.0,33.75,13.19,18.71,1.82
2015,2,14,0.0,34.18,17.8,21.55,1.52
2015,2,15,0.0,35.51,17.45,25.67,1.13
2015,2,16,0.0,35.26,17.46,29.22,1.82
2015,2,17,0.0,34.22,15.83,32.6,2.05
2015,2,18,0.0,34.38,16.27,25.34,1.54
2015,2,19,0.0,34.61,18.99,28.14,1.75
2015,2,20,0.0,34.61,16.48,32.72,1.28
2015,2,21,0.0,36.18,17.94,22.95,1.41
2015,2,22,0.0,37.69,18.98,20.22,1.49
2015,2,23,0.0,37.34,18.49,20.41,1.87
2015,2,24,0.0,35.28,21.15,26.52,1.77
2015,2,25,0.0,31.82,17.1,32.45,3.09
2015,2,26,0.0,30.71,13.87,13.05,2.2
2015,2,27,0.0,31.44,12.38,13.75,1.44
2015,2,28,0.01,31.88,15.25,21.42,2.7
2015,3,1,13.77,26.6,14.02,67.71,3.69
2015,3,2,0.3,28.0,14.33,58.73,2.18
2015,3,3,0.0,26.57,13.61,50.15,1.42
2015,3,4,0.0,28.97,13.28,45.92,1.33
2015,3,5,0.0,31.13,15.07,41.41,1.53
2015,3,6,0.0,32.68,15.96,40.44,1.44
2015,3,7,0.0,33.65,16.79,39.57,2.2
2015,3,8,0.0,33.09,18.3,39.38,1.75
2015,3,9,0.0,32.62,14.7,15.15,3.66
2015,3,10,0.0,33.52,13.25,21.23,3.05
2015,3,11,0.0,36.45,17.03,27.02,2.43
2015,3,12,0.19,37.07,19.02,26.3,2.3
2015,3,13,1.22,35.26,20.89,30.17,2.32
2015,3,14,4.15,30.08,21.01,55.89,1.79
2015,3,15,0.24,31.44,18.57,53.27,2.39
2015,3,16,0.0,31.58,15.75,36.7,1.51
2015,3,17,0.0,33.34,15.83,32.67,2.26
2015,3,18,0.0,34.67,15.32,29.84,2.05
2015,3,19,0.0,35.71,15.78,28.86,1.87
2015,3,20,0.0,37.95,16.92,28.17,1.36
2015,3,21,0.0,39.15,20.68,24.89,1.25
2015,3,22,0.0,40.87,22.52,24.65,2.01
