-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: latitude  22.3   longitude 70.78 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 81.53 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.05,26.43,11.89,48.26,3.84
2015,1,2,0.0,26.51,13.62,61.07,2.93
2015,1,3,0.0,28.22,13.26,53.94,1.89
2015,1,4,0.0,29.03,13.51,45.55,2.32
2015,1,5,0.0,29.66,12.79,37.92,2.43
2015,1,6,0.0,30.82,14.29,34.28,1.73
2015,1,7,0.0,29.57,13.26,66.0,1.66
2015,1,8,0.0,30.94,14.41,48.17,1.73
2015,1,9,0.0,30.93,13.45,28.27,1.86
2015,1,10,0.0,31.01,13.37,28.37,1.93
2015,1,11,0.0,31.22,12.59,31.41,1.9
2015,1,12,0.0,31.03,12.79,39.49,1.88
2015,1,13,0.0,30.42,13.65,67.21,2.14
2015,1,14,0.0,30.35,16.81,58.43,2.19
2015,1,15,0.0,28.12,13.76,27.01,3.83
2015,1,16,0.0,27.96,10.4,31.54,3.31
2015,1,17,0.0,28.79,9.37,27.04,2.67
2015,1,18,0.0,29.24,10.13,22.17,2.29
2015,1,19,0.0,29.83,10.11,20.73,1.81
2015,1,20,0.05,29.55,13.57,39.58,1.97
2015,1,21,4.16,25.21,17.81,76.06,1.59
2015,1,22,0.01,26.61,14.74,64.86,2.36
2015,1,23,0.0,26.87,12.4,57.03,2.4
2015,1,24,0.0,26.53,11.98,41.53,3.13
2015,1,25,0.0,26.84,11.84,36.14,2.83
2015,1,26,0.0,25.44,10.36,30.86,3.01
2015,1,27,0.0,25.02,8.86,30.82,3.04
2015,1,28,0.0,25.83,8.89,31.32,3.55
2015,1,29,0.0,27.61,8.46,25.25,2.97
2015,1,30,0.0,29.87,9.6,24.96,2.95
2015,1,31,0.0,32.06,10.88,24.21,1.73
2015,2,1,0.0,29.22,11.63,58.35,2.23
2015,2,2,0.0,31.29,15.94,65.61,1.98
2015,2,3,0.0,31.85,14.22,47.02,2.17
2015,2,4,0.0,31.68,14.12,29.56,3.0
2015,2,5,0.0,31.42,13.23,23.39,2.75
2015,2,6,0.0,31.1,13.53,22.04,2.16
2015,2,7,0.0,31.1,14.66,31.71,1.92
2015,2,8,0.0,29.42,12.97,47.02,2.58
2015,2,9,0.0,30.1,12.77,33.81,2.81
2015,2,10,0.0,31.65,13.73,37.0,3.23
2015,2,11,0.0,31.12,15.01,30.14,3.1
2015,2,12,0.0,32.63,13.28,23.64,2.22
2015,2,13,0.0,33.81,14.92,35.38,1.68
2015,2,14,0.0,34.21,15.73,60.85,2.28
2015,2,15,0.0,35.21,16.6,62.04,2.4
2015,2,16,0.0,35.59,16.28,59.87,3.06
2015,2,17,0.0,34.13,16.76,60.87,3.07
2015,2,18,0.0,34.37,18.15,58.54,2.9
2015,2,19,0.0,34.23,17.65,61.11,2.94
2015,2,20,0.0,35.06,17.68,55.99,1.97
2015,2,21,0.0,36.79,18.04,43.85,2.25
2015,2,22,0.0,38.57,19.73,25.46,1.77
2015,2,23,0.0,37.76,20.28,40.25,1.9
2015,2,24,0.0,34.47,19.45,62.71,3.71
2015,2,25,0.0,30.49,17.68,48.19,4.21
2015,2,26,0.0,30.32,14.69,39.94,3.16
2015,2,27,0.0,31.47,13.4,35.3,1.79
2015,2,28,0.69,33.18,14.65,35.55,2.42
2015,3,1,10.9,27.87,16.33,52.2,2.49
2015,3,2,0.02,27.01,13.4,55.25,2.94
2015,3,3,0.0,27.73,14.69,61.52,2.42
2015,3,4,0.0,29.96,15.03,55.75,1.91
2015,3,5,0.0,32.22,16.01,54.69,1.94
2015,3,6,0.0,33.34,16.77,57.81,2.04
2015,3,7,0.0,33.26,17.95,54.42,2.98
2015,3,8,0.0,32.45,17.87,50.98,2.1
2015,3,9,0.0,33.01,14.68,19.75,3.59
2015,3,10,0.0,33.79,14.02,17.17,4.3
2015,3,11,0.0,36.1,15.5,21.13,2.26
2015,3,12,0.45,36.95,17.27,23.51,2.43
2015,3,13,0.39,34.9,18.89,45.48,2.18
2015,3,14,0.51,32.43,20.51,55.26,2.8
2015,3,15,0.04,31.27,18.75,58.74,3.64
2015,3,16,0.0,31.49,16.55,51.98,2.12
2015,3,17,0.0,33.46,16.99,41.97,2.85
2015,3,18,0.0,34.75,17.54,28.68,2.56
