-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: latitude  21.17   longitude 72.83 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 59.04 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.31,29.82,17.27,56.89,2.11
2015,1,2,0.03,28.67,16.12,61.95,1.61
2015,1,3,0.0,29.63,15.93,58.35,1.58
2015,1,4,0.0,31.86,16.7,48.73,2.86
2015,1,5,0.0,31.65,16.24,38.76,3.01
2015,1,6,0.0,32.94,15.02,30.1,2.36
2015,1,7,0.0,31.44,14.39,27.9,1.7
2015,1,8,0.0,32.22,14.31,29.17,1.74
2015,1,9,0.0,32.83,14.12,27.9,2.83
2015,1,10,0.0,33.13,14.24,23.59,2.58
2015,1,11,0.0,33.77,13.84,23.31,2.52
2015,1,12,0.0,34.29,14.64,24.26,2.09
2015,1,13,0.0,33.28,14.34,25.04,2.05
2015,1,14,0.0,33.04,14.71,24.71,1.74
2015,1,15,0.0,32.0,14.97,36.39,2.6
2015,1,16,0.0,32.51,14.63,34.62,2.48
2015,1,17,0.0,32.47,14.87,35.84,2.33
2015,1,18,0.0,32.65,15.32,35.14,2.29
2015,1,19,0.0,33.46,15.4,35.72,1.82
2015,1,20,0.0,29.46,16.42,59.83,2.2
2015,1,21,0.45,31.82,16.48,65.9,1.62
2015,1,22,0.28,29.38,17.23,68.66,1.65
2015,1,23,0.0,30.83,16.1,55.66,2.21
2015,1,24,0.06,32.4,17.85,46.6,2.67
2015,1,25,0.84,31.65,18.92,55.95,2.11
2015,1,26,0.0,29.51,16.07,54.73,1.9
2015,1,27,0.0,28.95,12.29,34.64,2.62
2015,1,28,0.0,31.8,13.32,49.99,2.78
2015,1,29,0.0,31.8,14.98,42.7,3.18
2015,1,30,0.0,33.02,15.63,34.5,3.59
2015,1,31,0.0,35.19,16.0,23.78,2.57
2015,2,1,0.0,32.57,17.52,32.69,2.15
2015,2,2,0.0,32.77,16.38,55.29,1.77
2015,2,3,0.0,34.79,16.96,43.59,1.57
2015,2,4,0.0,35.2,18.56,36.69,2.78
2015,2,5,0.0,35.92,18.49,37.49,2.3
2015,2,6,0.0,34.25,18.99,34.83,1.67
2015,2,7,0.0,34.1,17.88,37.57,1.51
2015,2,8,0.0,31.72,15.87,42.8,1.74
2015,2,9,0.0,33.77,14.37,27.85,1.79
2015,2,10,0.05,35.41,19.75,36.41,2.6
2015,2,11,0.0,34.46,19.55,41.57,1.87
2015,2,12,0.0,34.74,16.19,31.59,1.95
2015,2,13,0.0,36.13,17.2,23.69,1.69
