-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: latitude  21.52   longitude 70.45 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 113.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.01,27.79,11.86,40.95,3.16
2015,1,2,0.0,27.86,13.44,57.72,2.54
2015,1,3,0.0,29.32,14.21,52.81,1.6
2015,1,4,0.0,30.09,14.42,42.31,2.61
2015,1,5,0.0,31.23,14.51,34.56,2.65
2015,1,6,0.0,32.13,13.1,28.06,1.92
2015,1,7,0.0,30.42,11.93,60.43,1.72
2015,1,8,0.0,31.43,14.17,54.38,1.6
2015,1,9,0.0,32.19,13.35,33.85,1.63
2015,1,10,0.0,32.07,13.88,25.45,2.14
2015,1,11,0.0,32.86,13.14,26.35,2.13
2015,1,12,0.0,32.67,13.5,30.18,2.15
2015,1,13,0.0,31.88,13.0,57.78,2.0
2015,1,14,0.0,31.66,14.93,60.11,1.6
2015,1,15,0.0,29.76,15.3,27.62,3.69
2015,1,16,0.0,30.08,12.05,25.83,3.18
2015,1,17,0.0,30.61,11.91,22.53,2.24
2015,1,18,0.0,30.74,11.97,20.44,1.96
2015,1,19,0.0,30.98,11.68,25.12,1.98
2015,1,20,0.31,29.54,14.32,50.05,2.48
2015,1,21,3.26,26.11,17.8,76.01,2.14
2015,1,22,0.47,27.91,14.98,62.8,2.47
2015,1,23,0.0,28.02,12.52,56.95,1.56
2015,1,24,0.0,28.89,13.33,41.82,2.51
2015,1,25,0.0,28.96,12.96,36.45,2.54
2015,1,26,0.0,27.29,12.44,26.74,3.17
2015,1,27,0.0,26.54,10.04,25.71,3.29
2015,1,28,0.0,27.77,9.88,28.28,3.55
2015,1,29,0.0,29.57,10.13,21.46,3.39
2015,1,30,0.0,31.51,11.45,22.13,3.31
2015,1,31,0.0,33.83,12.57,23.09,1.9
2015,2,1,0.0,31.1,11.82,47.45,2.27
2015,2,2,0.0,32.61,15.09,62.27,1.85
2015,2,3,0.0,33.27,14.81,53.66,1.59
2015,2,4,0.0,33.34,15.36,30.99,2.59
2015,2,5,0.0,33.09,15.55,24.59,2.39
2015,2,6,0.0,32.83,15.16,22.32,2.21
2015,2,7,0.0,32.53,13.74,28.27,2.21
2015,2,8,0.0,30.55,13.83,46.88,2.75
2015,2,9,0.0,31.31,14.27,25.8,2.7
2015,2,10,0.0,33.26,14.83,34.42,3.0
2015,2,11,0.0,32.94,16.42,28.33,3.26
2015,2,12,0.0,34.16,14.81,20.79,2.45
2015,2,13,0.0,35.26,14.87,30.09,1.89
2015,2,14,0.0,35.35,15.3,56.11,2.03
2015,2,15,0.0,35.95,16.24,58.16,2.27
2015,2,16,0.0,37.06,15.69,52.75,2.48
2015,2,17,0.0,35.53,15.95,53.57,2.97
2015,2,18,0.0,35.45,17.46,55.45,2.76
2015,2,19,0.0,35.61,17.22,61.81,2.57
2015,2,20,0.0,36.17,17.65,53.71,1.59
2015,2,21,0.0,37.92,18.1,44.44,2.17
2015,2,22,0.0,38.86,19.59,30.24,1.81
2015,2,23,0.0,38.18,20.08,44.46,2.25
2015,2,24,0.0,35.74,18.83,59.18,3.2
2015,2,25,0.0,32.18,18.23,49.47,3.81
2015,2,26,0.0,31.6,14.91,39.32,3.14
2015,2,27,0.0,32.29,13.48,39.46,2.11
2015,2,28,0.36,31.85,15.47,53.07,2.36
2015,3,1,8.87,28.16,19.13,62.9,3.18
2015,3,2,0.05,28.36,13.71,53.39,2.92
2015,3,3,0.0,28.64,14.41,54.99,2.23
2015,3,4,0.0,30.67,14.84,51.14,1.84
2015,3,5,0.0,33.63,15.73,49.78,1.73
2015,3,6,0.0,35.08,16.46,53.4,2.12
2015,3,7,0.0,35.14,17.89,47.05,2.65
2015,3,8,0.0,33.73,18.44,50.04,2.4
2015,3,9,0.0,34.55,15.67,25.52,3.04
2015,3,10,0.0,36.55,15.34,15.98,3.51
2015,3,11,0.0,37.15,17.4,20.61,2.9
2015,3,12,0.88,37.0,20.57,29.39,2.5
2015,3,13,0.74,32.72,19.62,49.4,1.64
2015,3,14,0.33,33.87,19.82,54.8,2.58
2015,3,15,0.02,31.86,18.58,59.15,3.41
2015,3,16,0.0,32.25,16.38,51.64,2.27
2015,3,17,0.0,34.76,16.76,41.05,3.02
2015,3,18,0.0,36.25,18.18,25.18,2.92
2015,3,19,0.0,37.65,18.37,25.88,2.19
2015,3,20,0.0,39.46,19.58,32.26,2.42
2015,3,21,0.0,40.45,21.49,32.77,2.28
2015,3,22,0.0,41.93,22.83,32.91,2.15
2015,3,23,0.0,41.95,24.03,28.16,2.69
2015,3,24,0.0,41.58,22.53,35.29,3.3
2015,3,25,0.0,42.05,22.07,34.1,2.29
2015,3,26,0.0,41.28,24.78,26.25,1.87
2015,3,27,0.0,42.36,24.51,37.71,1.8
2015,3,28,0.0,41.41,23.9,40.1,3.1
2015,3,29,0.0,37.63,25.07,41.44,3.26
2015,3,30,0.0,38.16,22.01,46.13,3.47
2015,3,31,0.0,37.68,18.45,49.3,3.25
2015,4,1,0.0,39.22,19.46,54.17,3.26
2015,4,2,0.0,37.0,20.93,59.04,4.01
2015,4,3,0.0,36.46,21.63,59.0,4.41
2015,4,4,0.0,35.42,23.32,62.22,4.81
2015,4,5,0.0,36.66,21.94,56.41,3.58
2015,4,6,0.0,37.21,18.85,58.35,2.58
2015,4,7,0.0,38.17,20.95,55.53,2.12
2015,4,8,0.0,39.83,23.04,47.37,2.09
2015,4,9,0.0,41.74,24.87,37.81,2.8
2015,4,10,0.0,40.18,23.34,53.73,3.68
2015,4,11,0.01,37.52,22.17,56.87,3.81
2015,4,12,0.09,38.06,21.67,58.25,2.94
2015,4,13,1.75,38.34,22.4,53.63,1.83
2015,4,14,1.38,39.51,23.83,46.78,2.33
2015,4,15,0.1,39.2,24.22,51.84,2.12
2015,4,16,0.01,41.64,24.8,47.43,1.91
2015,4,17,0.0,43.11,25.27,40.42,2.7
2015,4,18,0.0,42.94,24.55,41.74,4.0
2015,4,19,0.0,43.75,23.56,45.13,3.92
2015,4,20,0.0,43.83,24.15,32.26,3.75
2015,4,21,0.0,43.25,26.58,21.32,4.19
2015,4,22,0.0,42.62,26.15,27.84,4.17
2015,4,23,0.0,40.81,23.6,44.77,4.25
2015,4,24,0.0,40.99,22.59,49.71,3.87
2015,4,25,0.0,40.7,22.75,57.43,3.74
2015,4,26,0.0,41.57,22.91,56.44,3.68
2015,4,27,0.0,42.19,23.08,56.0,4.03
2015,4,28,0.0,42.22,23.46,50.45,4.81
2015,4,29,0.0,42.54,23.55,53.47,4.39
2015,4,30,0.0,41.72,23.45,56.45,4.54
2015,5,1,0.0,42.25,23.45,54.03,3.91
2015,5,2,0.0,43.93,23.61,45.97,3.49
2015,5,3,0.0,43.46,21.94,46.02,3.0
2015,5,4,0.0,43.64,23.69,43.33,3.52
2015,5,5,0.0,43.08,23.59,42.72,3.73
2015,5,6,0.0,41.55,22.6,48.4,3.88
2015,5,7,0.0,42.04,23.84,47.66,4.22
2015,5,8,0.0,42.6,24.47,46.83,4.62
2015,5,9,0.0,42.53,25.27,43.91,4.24
2015,5,10,0.0,41.21,23.66,51.59,4.02
2015,5,11,0.14,39.29,25.2,57.74,4.06
2015,5,12,2.41,40.32,26.19,56.18,3.32
2015,5,13,0.05,40.23,26.86,53.01,3.38
2015,5,14,0.08,41.65,25.06,51.21,3.02
2015,5,15,0.01,43.09,25.96,43.59,4.01
2015,5,16,0.0,44.32,25.47,41.57,3.86
2015,5,17,0.0,43.21,25.16,43.62,4.19
2015,5,18,0.0,42.97,24.88,49.49,4.52
2015,5,19,0.0,41.85,25.06,54.1,4.94
2015,5,20,0.0,42.72,26.09,55.4,4.86
2015,5,21,0.0,42.28,26.25,55.6,5.13
2015,5,22,0.0,41.08,26.62,56.93,5.29
2015,5,23,0.0,41.01,27.35,60.6,5.94
2015,5,24,0.0,37.39,27.05,65.06,6.3
2015,5,25,0.0,39.19,27.12,61.73,6.18
2015,5,26,0.0,39.43,26.49,60.53,5.72
2015,5,27,0.0,38.53,26.53,62.67,5.44
2015,5,28,0.0,38.9,27.02,63.15,5.12
2015,5,29,0.0,40.59,26.86,56.41,4.28
2015,5,30,0.0,41.7,25.97,55.47,4.16
2015,5,31,0.02,41.97,25.09,56.88,4.36
2015,6,1,0.05,39.71,26.13,63.24,5.48
2015,6,2,0.08,36.7,27.23,63.5,6.06
2015,6,3,2.45,37.29,27.24,60.21,4.41
2015,6,4,0.51,40.76,25.65,52.83,2.79
2015,6,5,0.02,41.02,27.36,49.94,3.45
2015,6,6,0.05,39.78,27.01,51.49,3.65
2015,6,7,0.15,37.99,27.25,57.32,3.46
2015,6,8,0.52,37.32,27.87,62.24,4.43
2015,6,9,5.89,34.54,28.2,62.81,4.78
2015,6,10,14.97,33.89,26.99,72.14,3.78
2015,6,11,6.93,35.89,26.54,68.75,2.72
2015,6,12,2.71,34.37,27.4,72.08,3.69
2015,6,13,15.42,32.24,27.16,78.21,4.35
2015,6,14,7.57,33.18,26.73,77.28,4.92
2015,6,15,11.86,33.15,26.89,77.35,5.24
2015,6,16,4.27,35.15,26.08,73.07,3.29
2015,6,17,1.32,34.56,26.8,73.35,1.97
2015,6,18,4.43,32.03,26.78,78.96,1.84
2015,6,19,1.04,32.74,26.7,80.23,2.48
2015,6,20,4.09,32.77,26.49,82.9,2.34
2015,6,21,7.94,34.97,26.96,79.94,4.46
2015,6,22,9.66,32.19,26.68,83.97,5.15
2015,6,23,77.41,31.29,25.04,87.36,7.79
2015,6,24,77.17,29.15,25.08,90.5,6.42
2015,6,25,25.38,32.4,26.5,82.62,5.81
2015,6,26,0.0,32.99,26.12,80.02,5.37
2015,6,27,0.0,32.78,25.76,78.89,5.13
2015,6,28,0.0,33.33,25.45,78.56,4.31
2015,6,29,0.0,33.28,25.33,78.12,3.59
2015,6,30,0.0,33.24,25.35,76.69,4.0
2015,7,1,0.0,31.08,25.38,80.07,4.46
2015,7,2,0.0,32.85,25.01,78.31,4.42
2015,7,3,0.0,33.38,25.48,77.12,5.35
2015,7,4,0.0,32.86,25.61,76.36,6.29
2015,7,5,0.0,32.74,25.74,75.76,6.89
2015,7,6,0.0,32.27,25.81,76.95,7.41
2015,7,7,0.01,32.37,25.9,77.58,6.46
2015,7,8,0.01,33.01,25.44,77.12,5.31
2015,7,9,0.02,33.29,25.37,77.97,5.27
2015,7,10,0.02,33.12,25.85,76.87,5.76
2015,7,11,0.02,33.83,25.58,75.34,4.86
2015,7,12,0.1,34.22,25.74,75.46,4.24
2015,7,13,0.04,34.43,25.22,74.62,3.96
2015,7,14,0.0,34.72,25.2,73.64,4.16
2015,7,15,0.03,34.79,25.6,72.77,4.97
2015,7,16,0.01,34.02,25.85,73.1,5.31
2015,7,17,0.01,34.05,26.21,72.72,5.15
2015,7,18,0.03,33.82,26.51,72.77,5.05
2015,7,19,0.8,33.68,26.04,74.13,5.12
2015,7,20,2.61,32.03,25.65,78.21,4.15
2015,7,21,9.42,30.6,25.35,82.8,3.15
2015,7,22,51.48,29.19,25.65,89.91,3.24
2015,7,23,35.58,29.51,25.55,90.44,3.56
2015,7,24,7.56,29.45,25.55,89.3,3.8
2015,7,25,14.72,29.38,25.09,86.57,4.59
2015,7,26,11.78,30.39,24.65,86.05,5.36
2015,7,27,39.36,27.25,25.25,90.55,6.68
2015,7,28,36.37,26.92,24.93,90.02,7.8
2015,7,29,2.8,29.6,24.75,84.57,7.15
2015,7,30,0.14,30.67,24.5,82.06,6.34
2015,7,31,0.03,30.55,24.72,83.06,6.04
2015,8,1,0.02,30.75,24.66,81.76,5.66
2015,8,2,1.28,30.82,24.45,82.41,4.92
2015,8,3,0.43,31.37,24.01,82.39,4.2
2015,8,4,0.01,30.7,24.28,83.33,4.25
2015,8,5,0.02,30.67,24.62,83.47,4.69
2015,8,6,0.01,31.15,24.3,82.48,4.41
2015,8,7,0.0,32.32,24.6,82.33,3.67
2015,8,8,0.0,31.73,24.81,81.9,3.18
2015,8,9,0.38,29.76,24.2,85.59,2.55
2015,8,10,0.35,32.05,24.35,82.43,2.48
2015,8,11,0.02,32.28,23.63,81.69,2.16
2015,8,12,0.52,31.36,24.14,83.34,2.17
2015,8,13,1.39,32.16,24.13,82.62,2.73
2015,8,14,2.42,31.53,24.4,84.35,2.54
2015,8,15,0.39,31.7,24.82,82.47,3.38
2015,8,16,0.08,31.39,24.85,82.98,3.37
2015,8,17,1.01,31.36,24.78,83.75,3.22
2015,8,18,1.14,31.58,24.81,83.09,2.85
2015,8,19,0.28,31.74,24.34,81.86,3.23
2015,8,20,0.63,31.85,24.6,81.61,4.2
2015,8,21,0.34,32.21,24.35,79.35,4.56
2015,8,22,0.02,32.5,24.61,77.9,4.39
2015,8,23,0.03,32.36,24.66,78.9,4.76
2015,8,24,0.02,32.07,24.49,79.58,4.3
2015,8,25,0.02,33.06,24.36,77.49,3.98
2015,8,26,0.0,33.34,24.51,77.28,3.72
2015,8,27,0.0,33.52,24.24,76.45,3.2
2015,8,28,0.0,33.87,24.02,76.82,2.84
2015,8,29,0.02,34.19,24.11,75.59,2.73
2015,8,30,0.73,33.52,24.0,76.67,2.98
2015,8,31,1.05,33.32,24.05,77.03,3.33
2015,9,1,0.38,33.3,23.0,75.87,2.88
2015,9,2,0.08,33.11,22.52,73.33,2.66
2015,9,3,0.38,33.71,22.09,70.03,1.96
2015,9,4,0.38,34.37,22.74,67.11,1.74
2015,9,5,0.0,35.22,22.07,67.59,2.05
2015,9,6,0.0,34.48,21.12,70.35,2.52
2015,9,7,0.01,33.93,22.86,72.55,2.51
2015,9,8,0.16,34.66,23.53,69.55,2.42
2015,9,9,0.01,35.71,23.34,68.53,2.41
2015,9,10,0.01,35.94,23.62,68.75,2.25
2015,9,11,0.28,34.39,25.25,73.76,1.57
2015,9,12,5.38,36.25,24.96,72.0,1.42
2015,9,13,1.31,30.94,25.47,81.77,1.97
2015,9,14,0.3,34.46,24.88,74.33,2.8
2015,9,15,0.05,35.71,24.23,70.9,2.97
2015,9,16,0.0,36.47,24.06,68.22,2.68
2015,9,17,0.0,37.04,23.71,65.9,2.59
2015,9,18,3.78,38.13,24.42,67.76,3.84
2015,9,19,27.24,33.42,25.98,81.59,3.75
2015,9,20,71.49,30.49,25.73,89.57,4.28
2015,9,21,6.84,30.79,25.06,86.35,3.42
2015,9,22,0.71,31.55,23.92,83.97,3.16
2015,9,23,0.02,31.35,22.64,82.36,2.24
2015,9,24,0.0,31.7,21.83,78.95,2.02
2015,9,25,0.0,31.87,20.46,79.11,2.3
2015,9,26,0.0,32.51,21.26,77.07,2.28
2015,9,27,0.0,33.14,21.24,73.51,1.56
2015,9,28,0.0,34.38,20.66,70.64,0.94
2015,9,29,0.0,35.77,21.19,66.85,1.69
2015,9,30,0.0,36.53,22.86,62.94,2.39
2015,10,1,0.0,37.54,22.66,59.02,2.23
2015,10,2,0.0,34.98,22.67,60.63,1.51
2015,10,3,0.02,36.51,24.82,69.79,1.66
2015,10,4,0.02,36.95,24.2,68.61,1.15
2015,10,5,0.0,37.35,23.14,64.47,0.86
2015,10,6,0.0,38.58,24.2,59.65,1.22
2015,10,7,0.0,38.75,25.3,55.34,1.0
2015,10,8,0.0,39.08,23.8,53.32,1.45
2015,10,9,0.0,38.36,23.16,58.76,0.9
