-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: latitude  22.72   longitude 71.65 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 42.8 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.31,28.02,14.9,58.0,3.35
2015,1,2,0.0,27.0,12.74,60.66,2.11
2015,1,3,0.0,28.79,12.92,53.29,1.26
2015,1,4,0.0,29.0,13.31,43.15,2.03
2015,1,5,0.0,28.93,11.55,38.94,2.3
2015,1,6,0.0,30.99,11.85,26.12,1.28
2015,1,7,0.0,30.2,11.78,47.73,1.25
2015,1,8,0.0,30.35,12.7,32.99,1.66
2015,1,9,0.0,30.3,11.06,32.83,1.73
2015,1,10,0.0,30.79,11.56,28.61,1.53
2015,1,11,0.0,31.55,11.46,29.65,1.67
2015,1,12,0.0,32.23,12.28,25.75,1.5
2015,1,13,0.0,31.21,11.92,36.78,1.24
2015,1,14,0.0,31.36,15.66,53.95,1.98
2015,1,15,0.0,28.46,13.0,26.67,3.12
2015,1,16,0.0,28.68,10.21,27.74,2.42
2015,1,17,0.0,28.9,9.3,25.34,1.9
2015,1,18,0.0,29.34,9.6,21.0,1.8
2015,1,19,0.0,30.2,9.8,28.87,1.71
2015,1,20,0.02,31.02,13.97,36.85,1.81
2015,1,21,4.93,26.14,16.55,76.63,1.64
2015,1,22,0.0,27.78,16.1,63.44,1.66
2015,1,23,0.0,27.42,12.78,52.31,2.08
2015,1,24,0.0,27.89,11.75,44.97,2.48
2015,1,25,0.01,28.24,14.34,38.4,2.46
2015,1,26,0.0,26.64,11.43,28.57,2.8
2015,1,27,0.0,26.01,8.52,34.37,2.88
2015,1,28,0.0,27.16,9.16,34.81,3.14
2015,1,29,0.0,28.72,8.28,26.84,2.58
2015,1,30,0.0,30.07,9.55,27.45,2.67
2015,1,31,0.0,31.78,9.36,26.81,1.24
2015,2,1,0.0,31.85,13.1,28.04,1.71
2015,2,2,0.0,33.01,14.88,56.41,1.55
2015,2,3,0.0,32.28,15.56,39.82,1.99
2015,2,4,0.0,32.06,13.65,30.13,2.41
2015,2,5,0.0,31.71,13.43,25.1,2.13
2015,2,6,0.0,32.1,13.81,19.26,2.12
2015,2,7,0.0,32.52,13.87,20.88,1.65
2015,2,8,0.0,31.08,13.29,25.89,2.37
2015,2,9,0.0,31.43,12.77,27.4,2.25
2015,2,10,0.0,32.31,14.76,37.89,2.84
2015,2,11,0.0,32.79,15.65,28.84,3.03
2015,2,12,0.0,33.6,13.58,21.3,2.14
2015,2,13,0.0,34.51,13.64,18.95,1.13
2015,2,14,0.0,35.43,14.52,42.44,1.28
2015,2,15,0.0,36.57,16.68,47.96,1.48
2015,2,16,0.0,37.51,16.0,44.84,2.36
2015,2,17,0.0,35.42,16.29,46.13,2.81
2015,2,18,0.0,35.84,17.98,45.7,1.98
2015,2,19,0.0,36.48,17.77,44.97,2.31
2015,2,20,0.0,36.02,16.87,43.92,1.14
2015,2,21,0.0,37.37,19.05,23.79,1.56
2015,2,22,0.0,38.72,19.18,21.81,1.71
2015,2,23,0.0,38.31,19.67,27.08,2.0
2015,2,24,0.0,36.85,19.55,44.04,2.79
2015,2,25,0.0,33.53,18.1,41.02,3.85
2015,2,26,0.0,32.62,14.27,29.28,3.02
2015,2,27,0.0,32.45,12.72,17.78,0.99
2015,2,28,0.2,33.02,15.01,23.72,2.72
2015,3,1,13.4,28.21,15.35,51.66,2.75
2015,3,2,0.09,28.56,14.01,52.12,2.78
2015,3,3,0.0,28.47,13.58,58.21,1.8
2015,3,4,0.0,30.33,14.54,50.78,1.39
2015,3,5,0.0,32.89,15.21,47.0,1.29
2015,3,6,0.0,34.09,16.39,43.65,1.77
2015,3,7,0.0,35.84,18.06,37.23,2.52
2015,3,8,0.0,33.89,19.21,47.52,2.19
2015,3,9,0.0,33.46,15.29,20.45,3.27
2015,3,10,0.0,35.1,14.43,17.27,3.42
2015,3,11,0.0,37.46,15.7,22.11,1.52
2015,3,12,0.11,38.28,18.48,22.79,1.83
2015,3,13,0.58,34.81,20.94,33.21,2.09
2015,3,14,2.42,33.52,22.99,42.4,1.41
2015,3,15,0.04,33.62,19.27,47.54,3.42
2015,3,16,0.0,32.81,16.36,44.59,1.81
2015,3,17,0.0,34.34,17.0,29.44,2.81
2015,3,18,0.0,35.6,17.01,26.68,2.56
2015,3,19,0.0,36.98,16.84,26.4,1.54
2015,3,20,0.0,39.06,19.36,22.29,1.49
