-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: latitude  20.75   longitude 73.69 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 320.87 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,1.95,26.95,15.84,67.9,2.48
2015,1,2,0.42,26.8,14.95,67.69,2.07
2015,1,3,0.01,28.1,14.49,64.64,1.39
2015,1,4,0.0,29.11,15.03,58.22,2.76
2015,1,5,0.0,28.99,13.61,44.52,3.23
2015,1,6,0.0,30.82,13.47,34.08,2.04
2015,1,7,0.0,30.3,12.34,28.59,1.63
2015,1,8,0.0,29.82,12.7,31.45,2.06
2015,1,9,0.0,30.23,12.97,30.31,3.2
2015,1,10,0.0,30.6,13.13,26.22,2.73
2015,1,11,0.0,31.05,12.47,26.57,2.62
2015,1,12,0.0,31.71,13.2,27.2,2.37
2015,1,13,0.0,31.43,13.02,26.09,1.94
2015,1,14,0.0,32.01,12.81,26.39,1.68
2015,1,15,0.0,29.63,13.56,37.61,2.69
2015,1,16,0.0,30.32,13.35,37.79,2.36
2015,1,17,0.0,30.13,13.26,40.95,2.5
2015,1,18,0.0,30.6,13.61,37.96,2.15
2015,1,19,0.0,31.19,13.62,37.59,2.48
2015,1,20,0.0,28.56,14.73,53.66,2.4
2015,1,21,0.11,30.92,14.59,55.93,1.64
2015,1,22,0.38,28.26,16.34,68.37,1.61
2015,1,23,0.0,29.21,14.41,56.89,1.81
2015,1,24,1.16,30.26,16.31,51.58,2.34
2015,1,25,1.5,30.2,17.94,58.24,2.42
2015,1,26,0.0,28.94,15.04,57.62,1.66
2015,1,27,0.0,29.5,12.54,41.02,1.94
2015,1,28,0.0,30.54,13.99,58.69,2.17
2015,1,29,0.0,29.57,14.37,53.26,2.6
2015,1,30,0.0,30.51,13.48,39.44,3.51
2015,1,31,0.0,32.94,13.97,26.62,2.67
2015,2,1,0.0,32.66,15.43,30.36,2.74
2015,2,2,0.0,33.61,13.69,36.86,2.27
2015,2,3,0.0,33.63,16.74,31.67,1.41
2015,2,4,0.0,32.81,16.7,40.14,2.6
2015,2,5,0.0,33.73,16.84,37.77,2.32
