-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: latitude  20.59   longitude 72.93 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 123.16 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,0.27,30.07,16.67,56.46,1.36
2015,1,2,0.04,28.73,16.45,64.17,1.95
2015,1,3,0.0,29.37,15.92,62.33,1.51
2015,1,4,0.0,32.33,17.18,50.81,2.66
2015,1,5,0.0,32.55,17.28,38.68,3.18
2015,1,6,0.0,33.3,16.14,31.9,2.47
2015,1,7,0.0,31.91,14.55,28.12,1.98
2015,1,8,0.0,32.55,14.65,28.02,1.77
2015,1,9,0.0,33.36,14.87,26.42,3.02
2015,1,10,0.0,33.8,15.2,22.97,2.88
2015,1,11,0.0,34.46,14.94,20.99,2.99
2015,1,12,0.0,34.78,15.23,22.27,2.53
2015,1,13,0.0,33.44,15.26,24.75,2.41
2015,1,14,0.0,33.38,14.78,24.29,1.93
2015,1,15,0.0,33.05,15.35,29.92,2.64
2015,1,16,0.0,33.29,15.37,32.01,2.48
2015,1,17,0.0,33.23,15.87,34.67,2.29
2015,1,18,0.0,33.18,16.25,35.59,2.13
2015,1,19,0.0,33.69,16.18,38.07,1.95
2015,1,20,0.0,29.03,16.26,63.01,2.07
2015,1,21,0.16,31.96,15.85,62.47,1.66
2015,1,22,0.51,29.64,17.26,70.38,1.76
2015,1,23,0.0,31.3,16.04,58.28,2.04
2015,1,24,0.18,32.82,18.2,47.35,2.59
2015,1,25,0.99,31.79,19.48,55.85,2.05
2015,1,26,0.0,29.69,16.3,57.12,1.86
2015,1,27,0.0,29.36,13.36,37.64,2.62
2015,1,28,0.0,32.95,14.09,48.3,2.56
2015,1,29,0.0,32.43,15.56,45.08,3.28
2015,1,30,0.0,34.01,17.42,36.39,3.78
2015,1,31,0.0,35.58,17.59,24.22,2.8
2015,2,1,0.0,32.75,18.87,32.09,1.89
2015,2,2,0.0,33.05,15.95,50.22,1.71
2015,2,3,0.0,35.16,17.59,37.05,1.71
2015,2,4,0.0,35.99,19.07,34.14,2.44
2015,2,5,0.0,35.94,18.73,35.51,2.58
